ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey
1,11702899,794691,1298590,80,5408428,842060,120,256548,775445,747463,10689140,
1,10976126,1410479,984785,221,5230887,782668,210,257900,775646,743806,10714656,
0,15105518,749567,967052,81,5245766,585502,401,222745,723649,730412,10318117,
1,12524469,759555,964607,181,5218184,701116,370,209180,725001,732084,10125478,
0,16578316,1221216,998921,90,5149886,597192,120,211344,734559,725822,10550129,
0,11821939,742313,968274,271,5159876,568439,361,214289,727927,1085843,10592148,
1,11791795,748405,966991,171,5161649,944530,180,227604,794871,719391,10617627,
0,15604568,1249899,992610,170,5152513,751531,200,224929,792738,904886,10870767,
1,11283909,1686974,986859,90,5482746,1317585,270,226142,809508,724129,11029073,
1,9614105,764956,966581,90,5306518,1083088,110,257740,831369,751130,10634799,
1,11302351,822332,966301,80,5704451,1074772,190,229317,739107,742544,10673409,
1,15040729,1472704,982821,180,5299175,1032955,110,224759,743175,742614,10786060,
1,11300307,794892,980277,161,5200222,1006345,361,216313,785984,732545,10712883,
1,14938709,747904,967913,80,5182668,938529,460,218007,759134,735020,10714968,
0,11557406,748805,967823,190,5184533,793279,461,222475,752151,723829,10701411,
1,11951592,764875,967794,261,5189921,774293,461,223517,753464,723017,10904942,
1,15696111,748345,967383,261,5180623,834555,370,231572,754005,728778,10804563,
1,11714271,742233,966592,80,5210580,800763,461,214389,747333,733647,10694430,
1,11688171,786275,968324,81,5193769,785143,461,213257,766669,724610,10849369,
1,15730183,748475,967613,180,5189180,836448,211,224638,789101,791585,10484277,
1,12369944,764294,983302,150,5146390,853601,120,218908,811502,755598,10797059,
1,11311028,762150,966782,181,5277817,771718,391,201425,796825,761459,10690281,
0,15650395,1220995,1412492,160,5160015,610448,210,209110,769494,732324,10740946,
1,11210370,1792360,976941,151,5169504,766730,721,203519,943508,739147,11073385,
1,14428278,1221115,980347,160,5159565,732415,461,215251,791925,772580,10638506,
0,11414870,1219623,984074,231,5191345,616348,471,221232,774594,778190,10891445,
1,11260374,1218952,984966,260,5185082,767330,381,202838,790954,773061,10592137,
1,15558344,1218139,992950,240,5185113,773271,221,231762,748715,762160,10730015,
1,11388174,932899,986178,170,5224015,758043,220,211625,744156,731233,10845400,
1,15419654,747813,977762,90,5224756,743375,70,211674,752953,724631,10376405,
1,12205986,753033,977873,190,5245905,701427,110,204320,738926,773842,10666376,
1,16199608,1232898,971540,481,5187086,739949,491,207948,762882,725532,10401784,
1,11870752,2116425,980056,170,5189190,741312,441,207727,757281,737775,10612546,
1,10120412,1724484,971641,160,5151209,717336,271,190435,796254,745469,11038149,
1,10497081,1878080,972913,80,5184192,664157,380,197659,774393,733647,10807910,
0,15287539,1302507,977411,100,5176065,565554,150,223977,767761,748625,11274431,
1,10267824,1224652,988321,260,5245726,669898,401,190144,751280,709974,10436708,
1,11752131,756740,985165,280,5190553,714091,210,219990,729479,727385,10782483,
1,11682200,752862,966521,231,5227080,692921,361,197839,737354,727265,10392528,
1,16427473,1222729,991808,221,5249653,728478,201,235488,729970,739177,10789707,
1,11322739,1028116,1002959,261,5215639,721414,190,216554,727054,756339,10911515,
0,15395730,811112,989314,160,5489680,569602,321,219649,741031,751430,10164321,
0,12324258,813326,992690,160,5471886,556477,291,212536,743124,1047642,10509716,
1,12007284,812764,979235,151,5492746,700896,420,205283,782769,744136,10871869,
1,14921978,1682876,983443,170,5299085,2255322,271,230700,827602,728547,11000881,
0,8928077,1746124,998100,160,5155628,582786,360,222675,786045,746341,11037047,
1,14817222,1218972,985847,80,5145518,730250,501,216474,788750,768612,10823341,
1,11525868,1231404,971641,161,5162681,701718,381,215813,790072,934241,10806307,
1,11013174,1293700,991587,271,5174773,770907,120,230129,782228,743245,10542206,
1,11314093,1255219,998180,271,5155578,728678,351,203720,759285,757582,10565610,
1,15472704,739227,985317,100,5250283,768833,190,228806,746902,775716,10653814,
1,11668985,1219983,993592,220,5179672,763303,181,211334,759255,825899,10663161,
1,11201414,1215856,983503,220,5158033,748244,200,236320,772029,759575,10595604,
1,11549093,1217248,984124,230,5169944,758704,511,216564,766909,751180,10886909,
1,15235070,1215785,982581,261,5489530,799750,541,218667,789371,809689,10689619,
1,10868104,1218471,986378,220,5140429,800352,200,223517,768111,756660,11195053,
1,11063716,1388758,977842,160,5181597,763282,451,216022,765277,762290,11227773,
1,14659199,1535582,992349,160,5369145,788599,211,229217,772239,746732,10358253,
1,11172199,1898799,1400209,130,5166319,881813,120,245057,801083,2061081,10335129,
1,13467648,1274325,966821,171,5161458,804469,111,219159,775566,854051,10582080,
1,10831213,1222308,980366,81,5494230,875181,100,221062,840416,821390,10929627,
1,10578674,1220625,1020632,80,5116554,886792,461,216172,769824,743456,10682016,
1,11227794,1398356,1040519,100,5168241,786986,371,233014,842130,738867,10216330,
1,15536312,1220445,984976,281,5261294,788239,541,228857,787597,771258,10587990,
1,11589448,814197,980427,221,5508765,746632,260,208238,799039,741212,10155997,
1,12493561,954017,973324,170,6086403,1009812,280,233716,948567,952886,10490979,
0,13723134,1248987,1003560,80,5861803,752743,120,218287,782307,743986,10194168,
1,10973098,1689438,1642961,161,5161609,807005,210,234638,771948,733597,10816707,
0,14177371,3271085,2387089,160,5201382,605098,461,238113,783340,784512,10340010,
1,8500100,1739411,995425,180,5269511,842461,230,235108,803277,728378,10448751,
1,10984230,1318867,995595,160,5208325,797857,201,225139,764735,711015,10352723,
1,15163526,751711,995014,100,5179993,840697,201,222915,745580,750609,10896255,
1,11493448,736944,984845,271,5151710,795292,220,223637,725422,724720,10443111,
1,12279392,1225404,998741,261,5147442,784402,211,216663,729730,734249,10417283,
1,15764116,1223891,989684,341,5173620,791695,361,225741,755477,748836,10449884,
1,11775724,1243177,1577760,160,5326305,859762,321,241690,804359,808116,10109189,
1,14939250,1249109,982410,220,5204589,730611,371,210493,755558,721965,10596836,
0,11821430,1280356,1401021,160,5386698,607543,110,240418,767069,730541,10114689,
1,10947480,774253,981799,270,5186226,839544,190,238114,811171,747533,10596877,
0,11780013,818405,987491,270,5204609,598695,211,228957,772039,719681,10175573,
0,13088961,1329878,996157,161,5191375,615617,231,231631,781567,709402,10725075,
1,14616248,760307,1064784,251,5211331,811001,251,216173,812094,738816,10538619,
1,11830065,1226806,981199,220,5235998,833263,200,236921,792077,729429,10642301,
1,11273859,913041,1156626,200,5225668,790173,220,217285,757872,741943,10533379,
0,15612834,836299,994974,161,5227321,631357,100,223667,795773,782809,10841252,
0,16639268,895027,982411,270,5172218,617641,120,247661,761970,868729,10567063,
1,11258329,905387,971610,220,5233103,778361,221,239597,753495,742223,10676855,
0,11210561,912211,974486,80,5209889,616839,151,235289,757451,742825,11008245,
0,11525768,1229351,979896,221,5297341,623522,130,224639,773040,1012587,10545322,
0,11867925,761018,978895,170,5179543,618663,241,224468,760617,775334,10708094,
0,11274652,1261130,981529,221,5408969,606229,370,75411721,738036,743786,10627033,
0,5243451,1004081,968705,291,5163764,543473,461,80797166,725702,1155303,10385655,
0,5242089,1222929,976800,190,5398760,540417,331,81035762,730631,745780,10387717,
0,5701136,1710908,1458298,190,5788878,496856,280,81419036,749066,736713,10540481,
0,5534183,808276,966822,80,5368354,465608,812,80873137,720783,734940,10581650,
0,5295337,746371,977641,70,5171978,451492,271,80893667,709873,746912,10566541,
0,5272566,777349,967663,261,5139548,484523,350,82278698,720653,740469,10467315,
0,5240076,1251533,968715,100,5215018,656713,221,81683617,720212,741232,10362831,
0,5304625,1742006,1043224,71,5112458,517525,461,81986242,760307,732845,10576250,
1,5554320,758593,967002,160,5312319,699113,121,157931697,790213,748265,10180702,
0,5311027,1682295,1487422,80,6055335,572037,110,212656,766709,768572,10473838,
0,5215840,1846752,2176787,170,5376248,949459,210,209420,758684,2039170,10448430,
0,5436883,1677876,1468386,160,5199509,477259,230,223657,823464,741050,10473237,
0,5088383,1417391,969216,160,5164804,471057,311,75733071,785595,753865,10476903,
0,5229675,1702101,1751794,271,5226511,527473,211,79322407,785795,730150,10403989,
0,5096597,1222188,1001987,130,7363682,459386,121,79085378,782838,747803,10991893,
0,5070561,1675863,1462325,301,5239724,553251,110,79633389,726033,721555,10757175,
1,4959712,1293200,966812,90,5371200,1129264,420,274281,728146,726784,10563113,
1,4794476,1251552,972883,91,5183309,1048765,441,259814,747683,724029,10682467,
1,4855268,1584503,1124946,80,5161909,1027054,480,263241,745309,725822,10615033,
1,5161288,1231114,974165,150,5646392,937377,461,250487,762571,749797,10586178,
1,5301719,826350,967122,180,5187166,923611,190,244466,763192,1097486,10789477,
1,5304685,1218120,983533,90,5115344,948037,401,259313,777789,735962,10655355,
1,5313963,1240993,1144433,101,5151992,946233,391,248934,751751,738997,10387577,
1,5267898,1236143,990485,170,5267666,953867,370,263922,740199,796163,10317708,
1,5271123,1249899,970528,451,5223173,951603,370,274943,726323,713249,10639958,
1,5035613,730542,967613,111,5628849,940503,441,265805,721495,736943,10671397,
1,5082170,1273554,973003,90,5410181,900418,260,248363,715033,751420,10475662,
1,5102288,1444502,969406,161,5385948,920385,260,257720,734990,748184,10743570,
1,5106015,1072619,968425,90,5145269,891671,350,251289,755918,715403,10830943,
1,5387891,803968,968745,70,5637826,968345,181,249715,766418,726835,10639888,
1,5524295,799640,984054,80,5362833,924743,120,241540,729089,3295712,10314131,
1,8984873,977010,998170,70,5180635,872226,160,253012,752823,729239,10851260,
1,10281400,757392,972282,160,5163041,900729,401,244555,719461,767420,10883802,
1,12250499,765687,967693,130,5152491,980156,280,259654,739197,795272,10616454,
1,15058762,786646,971170,171,5209889,980116,370,253913,727015,753895,10645489,
1,11813113,752112,980597,160,5175825,934371,361,254424,743425,787779,10599052,
1,16476725,826720,967142,80,5385866,979095,481,290130,765656,736773,10365718,
1,10939695,1236024,969507,250,5140260,1082517,391,256928,733106,742994,11081149,
1,10746146,788850,974196,230,5179341,947286,461,262729,736633,858971,10555791,
1,15548594,2870289,971710,221,5229656,955541,241,254705,725201,752011,10586898,
1,9900921,1247515,1049165,231,5167308,1057741,190,255156,759826,744998,10990041,
1,10499505,1275747,969276,230,5311167,968805,261,254364,827291,749517,10585046,
1,15795097,904345,966892,80,5218554,968525,261,278468,730872,1214663,10474779,
1,10557744,1246443,1208903,160,5164916,973214,170,276395,790764,739268,10432941,
1,11011721,1228069,971230,160,5175314,949950,281,270905,793880,794190,10727091,
1,18704705,1215274,995625,290,5359308,967333,311,264072,790503,728257,10819532,
1,23092173,1223961,970629,231,5272246,1001145,401,267769,788309,726113,10773656,
1,18627774,1262352,982090,101,5538020,1193905,260,280333,792437,743966,10693437,
1,22925773,1294101,971310,90,5168010,941634,541,212987,775125,741953,10622686,
1,18849999,1218581,981358,230,5253029,1034627,441,274461,762802,713078,10841452,
1,18821315,742544,999312,221,5153102,1048163,370,266226,745890,749357,10593169,
1,23609827,755307,974265,190,5165335,1021814,371,259383,741642,749136,10617256,
1,19861864,1165061,991648,270,5170886,1023678,271,256609,760667,717487,10674923,
1,23134471,1346780,975177,120,5173220,1017106,371,255657,752091,713509,10592780,
1,19552465,1281478,975949,161,5174122,890830,471,207055,803557,711766,10634797,
1,18719755,1222629,991417,260,5393350,1102385,350,858209,798688,736903,10568715,
1,22594906,1230433,971059,160,5137564,1087787,270,269542,774564,728919,10520377,
1,18961794,1217218,988161,210,5161108,1018088,170,254144,795452,740480,10601928,
1,23200456,1220234,980747,170,5178289,976129,120,223196,764815,722156,10687716,
1,19376598,1270688,974385,161,5435329,943588,211,238364,800291,725693,10597319,
1,23436414,762671,970679,150,5161147,944600,281,242643,831599,732324,10633457,
1,19283385,747373,972211,270,5694742,1060095,401,255856,801414,719942,10550682,
1,23110866,760457,975738,311,5219869,966200,200,251539,766168,761509,10869525,
1,19484189,1331722,971431,80,5225719,947936,190,241540,750348,709903,10456856,
1,23351706,1278732,978473,160,5188750,952455,180,234747,743025,718649,11056704,
1,18880416,989855,967984,260,5224976,1042212,461,263651,742133,708130,10671185,
1,19331855,1252724,995565,151,5166067,922058,200,226221,732284,726064,10804865,
1,22848098,1250751,981128,170,5199329,959077,190,245988,764144,721515,10632376,
1,19485450,1256130,981529,231,5220758,947486,80,243203,760247,912971,10729124,
1,23232636,1250630,996697,180,5173390,959839,220,231531,730522,730922,10411240,
1,19029109,1292188,975108,171,5179112,962424,201,228236,780153,736732,10222369,
1,23388946,1307577,1030971,100,5245165,927659,201,235139,740189,719501,10683889,
1,19033640,769253,967403,91,5146140,927238,241,247831,926016,719391,10851482,
1,23647870,763803,964958,260,5217232,946664,211,246369,737103,730161,10574926,
1,19302210,755989,978012,261,5187657,985737,200,248714,726594,781526,10540032,
1,19789519,758944,984154,70,5170645,933940,180,252320,769704,735291,10583503,
1,23938029,776537,969226,261,5855712,947787,190,269041,729188,724580,10635130,
1,18763245,793819,975648,160,5286042,980357,181,244997,746030,717407,10572792,
1,19625020,754255,975248,180,5170646,930534,221,239767,739859,725953,10637402,
1,23622500,1812448,1064734,140,5223926,927208,210,236461,714381,708380,10366798,
1,18840570,1768476,980076,160,5178860,944680,181,244977,755979,724691,10135760,
1,19268295,1287389,979155,150,5164924,962083,210,259613,777238,714933,10360299,
1,23472890,1330800,974435,170,5178740,954359,110,243253,741632,723027,10616917,
1,23410223,1270748,980056,160,5161699,928130,221,243784,747423,1054886,10378854,
1,19325201,1253416,981669,160,5178830,1131939,230,276646,730992,733687,10854168,
1,18646280,751090,978554,110,5238562,1015763,360,282647,779352,720763,10346850,
1,24061109,1260960,981328,171,5208916,1035239,250,333091,727666,730401,10593160,
1,19434225,1181432,1535542,170,5225218,981259,361,248443,727926,720252,10584153,
1,22253149,880561,1019941,90,5177068,1055167,240,262339,735982,719020,10753929,
1,19408258,1296306,1281989,170,5437182,1087075,170,279942,763523,755848,11025034,
1,22150878,1722901,1004372,140,5259892,976379,290,238304,725773,713720,10648042,
1,18598499,1224742,981970,101,5196816,952025,421,237703,730090,700947,11006680,
1,19046173,809118,983773,500,5264931,938349,271,250116,928540,729289,10430288,
1,23481618,1236104,972072,161,5175995,1417391,360,239717,729129,733857,10669213,
1,18825762,1245601,970569,220,5154255,932508,381,256878,733657,743846,10594634,
1,23649621,829536,970829,161,5204147,970930,471,252090,783410,726253,10634468,
1,19221589,867587,1006936,171,5188359,954068,471,254645,765396,714622,10065977,
1,24175102,757442,984495,90,5359417,965679,310,243504,779001,733947,10968910,
1,19237900,1694197,1445514,410,5225618,1372037,361,242411,723909,1681734,10742818,
1,16744885,788870,1056038,160,5209228,1062491,461,257379,761018,720893,10611864,
1,23525801,894106,966331,240,5209689,959678,250,248042,743837,732665,11025856,
1,19260743,954208,1051048,70,5254762,960660,711,269993,759856,735421,10652171,
1,23143899,830888,980237,180,5220157,1004522,461,254073,770717,714041,11182950,
1,11031137,1255520,1129815,151,5303322,1013970,311,264954,817955,738105,10287550,
1,11291623,1372929,989855,271,5258539,989453,261,247341,808446,727806,10588752,
1,14778300,1226366,972362,70,5237299,935473,381,253222,773060,1900622,11073166,
1,9729660,766529,982942,231,5242088,1071787,261,259825,778110,734068,10883322,
1,11108311,1277411,972251,161,5164374,962484,461,249435,775585,707418,11152411,
1,14688563,1294632,980989,160,5165156,943488,230,260095,797566,725031,10402474,
1,11563209,1256191,979035,160,5184251,964307,171,276836,791745,707198,10991614,
1,10595645,1235923,967433,220,5171739,967383,350,245978,781506,705354,10944975,
1,15147448,1250029,982972,110,5183960,923371,191,376622,727786,772790,10982668,
1,10518530,1231695,973144,70,5195252,1058352,250,255827,731714,722867,10098839,
1,11616909,1245150,980066,170,5184541,961763,461,259083,803106,721614,10536176,
1,15243144,828434,966071,271,5260434,966351,642,259354,730180,717227,10541293,
1,11769463,1261401,976089,130,5159895,1025250,261,271516,728868,733266,10759301,
1,12143509,1225544,974827,160,5166288,999613,261,255046,748024,697670,10617105,
1,9908004,748435,980447,170,5179411,971731,361,256878,750177,716305,10521618,
1,11721061,786866,980528,160,5179223,965909,270,265675,758574,709993,10606906,
1,16215809,1251442,970919,180,5322448,976349,390,245227,850295,750549,10801489,
1,10617866,1249759,968595,120,5229997,1061869,401,308846,802315,713870,10590054,
1,15091233,775976,967503,70,5203837,993602,261,261627,789331,743535,10610613,
1,12101552,779162,968375,211,5201051,990025,251,264943,781807,781316,10436388,
1,11121125,1250260,971129,150,5204358,1056047,381,261328,737364,741252,10573353,
1,15106141,1295114,1002538,80,5174432,998280,361,323232,726955,737625,10858787,
1,10892858,1273714,1040969,100,5229356,973003,481,267698,728898,737474,10891986,
1,14816271,1231434,972852,231,5187486,974847,391,262229,740160,736141,10800428,
1,12148898,1232647,981920,160,5478300,1336570,361,259323,764705,2064117,10347341,
1,9068901,1222588,995735,70,5152811,964287,261,241780,751761,733396,10753991,
1,14665408,801323,967874,150,5545836,992740,220,273009,797546,724260,10877089,
1,10877040,1407483,975057,80,5327537,980186,310,266817,763503,724981,10352122,
1,11401716,842570,968164,261,5237851,1019630,250,261327,756349,747654,10438932,
1,15313728,1715166,998601,160,5192235,1077708,170,248543,760698,768503,10421020,
1,10898468,771597,968445,160,5159355,965349,350,355973,761679,1337963,10530002,
1,11315437,849913,965148,170,5193217,967764,401,250687,771217,839735,10525474,
1,15357058,1256532,1510415,70,5181605,990185,280,247752,769835,750879,10407665,
1,10822637,1665243,989825,240,5185032,975528,260,245868,763483,741622,10524843,
1,10779618,1239710,967653,220,5185333,962544,471,266376,767119,717898,10640839,
1,15458848,1237255,973434,160,5170516,981370,361,244615,757352,711866,10751084,
1,10920611,1326302,1001817,220,5187236,964377,360,275544,734348,730942,10141710,
1,11744385,2150909,1464559,150,5162142,974967,261,250016,750548,735891,10452518,
1,13820144,1261731,974165,150,5159655,953196,260,278389,721535,732184,10837607,
1,11359167,803056,969838,80,5332027,1078550,180,266797,759425,716365,10993315,
1,10880988,771268,967012,70,5228363,1057400,390,264744,743174,753123,10345590,
1,15954572,1244880,991297,70,5378042,1030119,310,260015,739418,756700,11087332,
1,10454161,1301605,1258746,160,6285483,1064535,411,253773,775515,729500,10890444,
1,9229000,1049646,1376836,170,5400153,1089891,361,278168,756109,745910,10562593,
1,14903503,824687,968856,71,5333590,1052542,261,269443,763963,739909,10740765,
1,6751932,1378549,1062771,80,5186366,931245,371,255296,742273,692580,10362600,
1,15409977,766208,964628,60,5215499,1045038,261,253292,742223,729510,11133678,
1,11089797,779563,967283,81,5187998,963356,371,264704,734639,722406,10507521,
1,11757521,1307055,986037,391,5221991,1073831,371,303646,798749,734279,10896045,
1,14676169,852839,969748,301,5482115,1000304,270,256528,816782,826600,10771915,
1,11562346,1288130,971180,70,5165737,994974,250,261878,768662,724080,10597047,
1,10768127,1850168,977211,170,5380937,1031662,380,264072,780464,726153,10884965,
1,14326326,833724,968635,160,5162421,1037975,371,272377,747082,754255,11011279,
1,10316005,1192122,967092,70,5183209,1007347,260,265264,765417,879068,10465163,
1,11587292,1243607,973244,160,5173171,1038847,361,258301,760037,729760,10592478,
1,11230319,770647,967984,160,5447611,1053954,290,273600,792667,722306,10572753,
1,15139611,1309070,971170,91,5187107,1110850,271,290050,744587,727346,10655426,
1,11496174,753684,967543,261,5188518,1012427,260,259744,750929,721805,10799245,
1,11313883,1251312,1127532,360,5153795,1034117,301,264522,774864,729519,10652200,
1,10850621,1222568,1553945,260,5189901,1008610,161,264322,749597,732846,10387368,
1,14572755,2056723,971431,160,5153524,1113455,261,304378,792827,721966,10630650,
1,10158982,1395010,1046089,160,5156639,992360,381,267598,777730,704232,10434716,
1,15391653,1246744,979766,90,5209598,976389,350,256729,763041,730431,10821366,
1,11064097,762822,968255,70,5165696,1094008,370,276115,770726,719261,10931762,
1,10904561,1263034,970889,230,5170545,980497,361,236280,727806,815810,10439733,
1,11589809,768953,967893,230,5146320,960160,301,254004,734018,1005985,10726660,
1,15035519,750959,974727,251,5209367,973875,491,258281,719451,789772,10590987,
1,16344908,767280,967514,150,5149056,1039277,261,262068,770656,743927,10486291,
1,11759635,1260319,2892840,70,5192777,1064484,361,246439,848912,730411,10711192,
1,9087153,1156645,965359,161,5224656,1001807,280,263170,728046,725943,10842203,
1,10395032,837160,980066,90,5568767,1089350,301,270214,780705,735400,10461165,
1,15231302,1272191,973855,161,5160106,1007096,360,268921,794090,728989,10796028,
1,10983619,1463327,969887,70,5182587,983302,271,278569,763163,726925,10618859,
1,15131237,768873,966722,161,5139948,960710,261,256127,793138,709342,10215988,
1,12286786,765065,968254,160,5168051,960290,141,257831,778220,765647,10536033,
1,11544143,1226395,972262,70,5176396,985847,361,258231,803257,734359,10597078,
1,10937731,1231645,969176,80,5153223,1031302,480,269883,756530,746061,10596687,
1,15338474,1227257,1992914,161,5183168,1011385,411,246549,750258,716155,10417403,
1,10704918,1608116,967593,160,5170837,980658,281,272507,727726,728147,10562923,
1,11115063,1995308,1011655,70,5218475,1047783,361,257079,752331,726313,10604122,
1,13824211,998782,968656,161,5133127,1020282,261,248393,765477,718018,10779096,
1,11551117,1302567,968675,351,5179702,984034,261,274933,747523,727065,10678480,
1,11017640,1324288,1177345,80,5160527,998391,251,273349,772991,725051,10351981,
1,16218714,1235442,972051,161,5184130,976560,261,251048,751220,1332784,10490068,
1,9884801,1293250,969076,100,5250624,1086665,361,263260,768272,1209734,10710218,
1,10520105,1027745,970188,150,5108590,1001506,360,266617,909144,867276,10494327,
1,15069533,766178,965820,170,5158833,1018017,390,255376,779973,711185,10504115,
1,11743183,1264497,1467855,170,5176937,991979,231,247882,756329,742664,10356971,
1,15070435,1256842,973504,180,5208776,970549,261,257499,763031,730561,10689140,
1,11423577,769274,965329,171,5239484,1018759,261,266206,784071,727676,10764219,
1,11219859,1056329,965429,230,5171056,1081745,140,269081,767430,724309,10781122,
1,15159800,759806,965940,161,5219897,990246,471,267127,773351,721013,10391534,
1,11618472,1106372,969336,220,5144727,987370,380,271596,773422,709923,10754952,
1,11126243,1143351,969137,261,5123068,1013478,371,272638,736432,724781,11063897,
1,10852685,757853,1331241,361,5098620,1041080,270,258582,767881,721695,10581660,
1,11681257,1184397,966200,160,5180865,1091745,361,250857,722086,741081,10620391,
1,15058292,907902,967754,80,5184321,1130887,361,250887,770105,724371,10537958,
1,11580811,1207961,973604,80,5188639,1341970,271,269231,808757,730802,10863726,
1,14431402,1493914,982791,160,5161109,1142179,231,259403,767781,728016,10518310,
1,10820134,1722149,972322,221,5179622,1127180,130,263911,749536,722677,10351110,
1,11046234,1314499,1111231,160,5176377,1166434,240,271536,740079,726964,10600794,
1,14822563,994233,968856,330,5131813,1121139,260,275083,729119,714622,10634448,
1,11187739,1240272,1208392,70,5121393,1077097,170,298837,752753,729199,10581109,
1,11078735,1267412,1068020,160,5352805,1159079,361,263722,736012,717928,10772224,
1,14732625,1625199,984755,70,5144246,1190168,361,266857,737855,733687,10681506,
1,10713353,1066347,967553,270,5148515,1121360,361,282987,716705,726093,10119057,
1,15542394,1236163,966581,260,5273707,1124325,380,274161,734399,738236,10685663,
1,11322859,1723993,1584574,171,6148918,1180570,401,254624,738606,770356,10448511,
0,8811590,1282279,979836,160,5254561,811532,100,228035,781867,736774,10460935,
1,15502709,1131078,965298,271,5135108,1054164,621,262879,735941,730742,10643014,
1,11932475,779983,969297,70,5171206,1078069,380,257310,761088,732385,10270509,
1,11405034,1047211,964026,280,5157852,1105681,401,257810,734409,724670,10592190,
1,15351316,769845,967113,241,5156110,1131429,271,249475,766518,727896,10630409,
0,11621348,754265,967303,231,5141721,796153,210,230480,742974,714041,10594354,
1,11628028,1697404,1046481,250,5173241,1139343,250,260225,772740,729930,10621502,
1,10348696,753875,990536,160,5177939,1127742,381,266597,763212,759926,10520116,
1,11572875,754937,977972,80,5145299,1108646,271,252360,732705,727836,10739312,
0,15474508,754406,974967,171,5143284,795422,471,276094,727275,746021,10975694,
1,11700324,750349,979465,170,5174713,1072368,351,257880,728478,724610,10588080,
1,15752326,824026,964868,221,5148555,1000205,611,265345,735260,712668,10700609,
1,11696708,937196,1082457,71,5169173,1057781,220,252200,766478,714702,10610664,
1,15550327,769855,968104,160,5185534,1010173,491,260686,762641,716014,10536274,
1,11986317,790513,967192,171,5128587,1087166,240,282687,754647,723538,10656398,
1,11068846,1240092,1508882,100,5188339,1106993,501,269272,776687,717247,10575137,
1,10604803,1388488,966000,160,5184461,1016785,150,270745,726314,729239,10459913,
1,15610440,1795856,977552,70,5166036,1063422,241,263751,758113,801053,10553427,
1,10370976,818405,968414,90,5285249,1100661,250,279130,755909,749046,10460693,
1,11377292,1241714,970298,241,5292833,1105019,391,272117,722246,721745,10535664,
1,15111168,780635,964939,231,5169554,1054776,371,258351,784873,713500,10662078,
1,11576865,1521225,1087226,90,5216240,1107544,260,271015,776948,718449,10846082,
1,10281038,1255600,967603,251,5182378,1069984,271,280072,770486,722756,10596286,
1,11396899,753534,969818,160,5172689,1081686,350,270655,810921,719571,10563776,
1,15453388,1351740,973825,160,5185172,988803,360,252761,741281,731463,10892028,
1,15299450,754486,968725,91,5167270,1004182,331,244466,761339,720212,10600534,
1,11136614,1280325,985376,160,5170425,984534,221,244776,845846,736202,10382719,
1,11226560,1252794,1224161,170,5233253,1075395,351,273990,748705,805000,10550259,
1,11101929,1243046,1420497,171,5169663,1031763,240,252280,804840,806823,10756556,
1,15019127,1231476,974356,170,5169103,1054875,381,253402,774553,751491,10613729,
1,15175760,1224783,1476051,90,5508356,1163197,170,262910,800491,738196,11340042,
1,9100740,2744274,990286,71,5203878,1120919,351,275153,814017,730100,10973851,
1,9028855,1652269,972933,80,5167521,1024068,391,260595,780013,735361,10478005,
1,10614881,2492595,1893078,60,5171927,1472404,271,247361,757271,1564405,11081562,
1,7325721,1309310,1126109,220,5195112,1022886,260,268801,784211,734960,10156326,
1,15388938,2221269,2447100,160,5210380,1015192,361,258652,970939,734338,10328478,
1,8620915,1734423,970659,231,5224306,1028136,261,253612,767681,742373,10709828,
1,10588973,910216,1991270,161,5199308,1007358,351,239787,727726,736483,10316155,
1,14826580,1273213,973915,291,5189851,1064403,591,254684,728057,720172,10863435,
1,10800125,1410128,971040,170,5182438,1093619,271,255666,763493,727526,10714927,
1,10861321,1867210,1484096,230,5240205,1031873,201,246871,761829,737585,10680765,
1,13997264,863088,1029699,221,5222301,1101532,180,269101,781576,900138,10692876,
1,11077814,1141027,981088,270,5269560,1141818,291,269181,764776,735030,10589424,
1,11232362,1241413,1472634,141,5284076,1189477,360,248473,786065,733407,10847125,
1,14221651,1344205,973534,160,5190253,1007959,211,223367,770386,705475,10460182,
1,10966016,1564305,974396,221,5252467,1132631,391,264653,782488,733928,10643596,
0,11191715,2119930,999353,240,5394855,807645,360,268651,802475,731484,10784216,
0,13906996,1428522,1009261,161,5184250,813607,110,233205,761168,744889,10587711,
1,15123393,2143625,1077919,160,5179582,981339,211,244575,741342,745439,10639168,
0,10088029,1286808,968154,361,5146371,783962,110,241820,726264,722977,10928434,
0,11138838,1149983,967232,230,5133947,782859,120,213618,794911,735882,11067616,
0,11306399,1349615,972522,160,5152913,774474,201,235458,723268,719381,10620150,
1,15296716,1245962,972632,160,5209808,1361657,290,194342,719190,721084,10412324,
1,11361964,1528889,968384,181,5644217,922008,190,214139,717066,708100,10617327,
1,14414300,776136,965389,231,5660399,937046,120,205963,735891,706878,10651949,
1,11557127,1248547,976369,160,5129198,952455,421,219479,710334,728607,10341853,
1,12089397,1689438,996116,160,5210932,1373319,201,210432,738316,1449942,10533909,
1,10801971,793339,967513,70,5255714,1039197,381,280533,748475,717366,10585677,
1,13725478,759004,964708,160,5150277,1017546,260,243364,747142,711777,10797350,
1,11881412,812494,964718,231,5298223,1025020,271,263491,735140,722917,10757376,
1,15556009,752172,967483,161,5159664,1043594,270,265445,870101,728077,10657411,
