ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey
1,14062665,1564937,972883,170,5359688,1229501,291,254784,779612,774504,10735905,
1,10522880,1226525,968595,171,5376900,1219693,191,274903,781426,738987,10649787,
1,10672748,1221957,972051,161,5209919,1196049,381,270935,787116,735100,10856512,
1,10848365,1221506,972162,100,5195624,1176462,420,276205,759305,740620,10717602,
1,14378546,1223921,980337,230,5228022,1150614,371,262048,755067,776206,10821227,
1,10776341,1222058,1039136,251,5232450,1115097,351,259593,758884,727826,10659085,
1,10893459,762421,965419,231,5207516,1154792,281,251208,736833,718960,10619770,
1,15554417,761178,966161,161,5141861,1153420,271,264983,765316,1639725,10812940,
1,10517239,1680732,1443630,280,5235266,1553274,360,258302,748685,1574535,10626383,
1,9016452,1221466,968134,70,5183160,1146626,491,283578,765897,722947,10702173,
1,14766659,1232276,1471562,100,5274298,1100060,441,283879,789481,751350,10412463,
1,10937122,1220114,1084571,231,5206352,1089250,261,267639,759395,728488,10907527,
1,14961390,755388,966832,80,5157551,1081124,190,264282,752853,1005013,10686103,
1,10909501,1676745,1461423,150,5184040,1147418,280,258712,738737,811472,10883852,
1,9633532,1221136,971931,80,5200290,1185539,351,264182,762030,757742,10164112,
1,11449285,1654633,977952,160,5187146,1107023,361,285672,740991,725462,10141689,
1,15310652,1296526,968354,270,5244693,1124425,581,265454,741733,748074,10641911,
1,10710118,1220324,972452,220,5214517,1091664,371,268861,748975,733647,10935339,
1,11054570,1216146,974246,261,5182006,1087016,450,267569,722166,737465,10594212,
1,14783610,1222328,967393,240,5176376,1101302,361,260716,755829,797486,10644014,
1,11404002,1680151,1470590,70,5172148,1066457,370,237212,737054,763603,11368857,
1,8938647,753704,967493,260,5145709,1098638,361,254624,850055,742104,10671436,
1,15649143,788589,967323,171,5842937,1075094,301,232784,747233,748625,10830783,
1,10627155,1639075,974536,70,5266484,1108435,400,263181,765636,727646,11031438,
1,10203934,2038178,1006566,191,5200472,1211237,260,272929,763183,745619,10626802,
1,14386700,1224312,966632,71,5230998,1058663,391,263240,728237,712417,10636300,
1,11202767,1222859,975287,170,5196112,1042803,251,274682,747553,718759,10522319,
1,10769358,749717,967112,160,5157671,1101232,260,272558,733787,778110,10561923,
1,15679899,747623,967413,251,5235266,1123253,311,259463,728037,728818,10566751,
1,11615957,747834,966350,270,5139497,1070375,250,255456,726444,733446,10605003,
1,11993349,789371,967042,90,5155737,1107844,361,273630,754285,797636,11294838,
1,14541568,753365,968144,260,5261625,1150795,321,263321,733066,840105,10535322,
1,11379596,757582,966672,230,5160136,1143591,360,270083,754807,756840,10503955,
1,11844221,1250831,1486039,100,5278016,1120758,250,256729,731603,730822,10972028,
1,10054586,747683,967263,381,5380157,1084921,301,261007,723308,717356,10774397,
1,15424505,1344114,982570,170,5197956,1050167,240,253643,738756,722898,10915302,
1,15176791,756359,966231,260,5438024,2274650,261,579309,781186,716025,10593530,
1,9604639,752924,966331,150,5149857,1058042,160,254705,726985,726634,10958911,
1,10970264,1676213,1477954,190,5167850,1012016,240,252691,724240,746100,10818652,
1,10448961,2113429,1901343,70,5113809,1521856,201,267088,729360,2102118,10403156,
1,7310021,1222308,971590,220,5312221,1095231,481,264523,723408,742404,10464810,
1,11044192,1220554,968104,240,5107137,1091995,260,272157,730121,732905,10479769,
1,15448228,1221867,967443,271,5161599,1098297,261,258742,818786,718048,10838469,
1,11063997,1232657,971640,70,5195173,1126810,170,253783,762762,735039,10160583,
1,15387265,745820,969657,170,5196323,1162767,451,282867,777098,735952,11344662,
1,11057174,1219312,971891,70,5260824,1144693,250,260896,770957,734519,10610151,
1,10677517,1253446,971811,171,5438375,1101663,381,260005,769584,722847,10615782,
1,10989850,1218250,971891,231,5223394,1114436,461,264694,743926,732716,10643795,
1,14775905,820228,965419,240,5204148,1092035,280,253172,716395,745310,10705139,
1,11589997,767741,969146,220,5153203,1136158,261,275374,757591,723027,10687175,
1,15556360,759375,965028,160,5180403,1088108,271,266557,730812,725191,10632465,
1,11597932,749487,969617,151,5085908,1087667,380,274402,752082,735911,10580837,
1,11638868,741061,968685,100,5150820,1052672,471,262229,749757,738115,10127272,
1,12394178,1659934,980768,160,5190252,1057781,491,269833,718939,706537,10638253,
1,14406195,754476,967513,170,5165185,1134345,291,273019,751571,800482,10396333,
1,11740658,1228640,971931,80,5223384,1079612,180,253753,753875,1000284,10130507,
1,15503754,754826,967212,70,5129859,1185178,260,272758,760376,726123,10902355,
1,11387630,751671,967833,231,5113639,1174219,260,266867,747403,757071,10852744,
1,10829190,734489,985647,80,5187617,1118554,631,260004,757111,729289,10628155,
1,15711068,742434,966792,170,5203917,1086835,280,271165,734810,727185,10652833,
1,11723776,791545,968003,161,5181786,1112694,270,267368,722888,726935,11144428,
1,15151376,750248,967884,231,5103199,1084801,260,267899,734639,743195,10741447,
1,11627799,747012,966702,261,5191263,1109578,371,256448,728046,728608,10667059,
1,11407216,753333,967252,220,5198317,1080433,270,262299,733948,767040,10634306,
1,11513635,737385,967303,230,5204319,1090993,371,272377,735882,724620,10665114,
1,15392344,768522,967493,161,5206622,1111701,270,259473,739047,743405,10666428,
1,11631374,748135,967473,190,5184942,1109959,340,261277,732556,778150,10474289,
1,15747336,753524,966761,271,5142623,1166563,391,260987,752392,736813,10344346,
1,12110920,757462,968165,70,5215409,1154852,351,276124,753925,724851,11261156,
1,11110914,1715767,989093,271,5160346,1130396,360,262600,763723,757332,11222983,
1,9277438,1668149,973224,361,5178510,1115178,291,269041,760628,723939,10609921,
1,10643655,1320240,970238,241,5151920,1146988,361,270304,727034,737864,10715308,
1,14815749,1221296,972502,231,5166458,1163739,461,260686,744588,742123,10685623,
1,11125211,1241694,968846,90,5211221,1162857,541,268481,745249,739037,10711290,
1,14958306,1220565,972242,220,5263398,1130577,460,274732,746842,729289,10775041,
1,11030565,1230944,971671,240,5182267,1124797,250,251178,768383,718569,10638634,
1,15076706,800882,968655,231,5252929,1131519,251,262589,797696,731744,10960736,
1,10967879,757301,969948,180,5171126,1198013,431,267819,801123,1706600,10768097,
1,10320471,753965,969377,171,5137545,1160322,380,258221,788268,754326,11096308,
1,10943444,746060,967413,170,5162249,1152698,581,258742,733106,743706,10640168,
1,15544598,1222058,975237,300,5179782,1148972,451,257910,741632,733196,11055403,
1,11204990,1171824,1033806,230,5240117,1156415,180,269252,750668,718298,10620120,
1,14642327,746331,967292,180,5176977,1131709,360,265194,757552,724971,10463920,
1,11704631,763573,967714,260,5123447,1130446,300,255977,735851,731904,10675936,
1,11440298,743716,968374,240,5141322,1173867,190,274942,749065,825318,10813390,
1,11091600,905197,968535,171,5183149,1156835,260,261307,736984,731162,10687486,
1,15350005,759666,965639,241,5173461,1190589,270,273851,766458,725402,10657821,
1,11422495,767090,966481,230,5194712,1148561,181,249656,731753,736683,10630549,
1,11560203,744437,967082,230,5174713,1173307,261,263471,732434,735361,10661377,
1,11421545,1222287,967052,420,5222571,1170010,280,264603,740781,724801,10764611,
0,14897371,784041,967253,261,5166889,886793,220,229558,750869,767721,10530764,
1,12010553,749106,967283,231,5158372,1053994,331,229858,797316,753013,10679841,
1,11423779,1217599,971520,231,5217333,988181,221,213067,786946,734880,10648845,
1,15206146,1268183,967142,231,5215869,1158980,370,268761,797025,735972,10671125,
1,10884845,1224601,971570,230,5222913,1181432,230,263401,804089,743916,10580408,
1,15418962,1219783,973414,311,5148295,1156555,170,251178,788229,734008,10595534,
1,10691875,1219172,968575,221,5146360,1202641,510,274101,809629,748064,10684360,
1,14998742,1216598,967843,281,5147832,1049476,110,245047,788790,738346,10702834,
1,11146150,1197872,966241,90,5228194,1009070,201,232233,779502,726995,11231209,
1,10635942,807155,967694,451,5176667,1015733,190,236671,775776,1009932,11147713,
1,10606615,1001777,965870,100,5123186,1141417,260,260034,771337,723258,10689411,
1,15495878,778561,967995,161,5149386,1182203,281,367605,783731,729650,11258810,
1,10669071,756529,967113,231,5286481,1220935,401,284982,782788,718859,10597119,
1,11097730,805371,967994,170,5343878,1169931,391,269402,776007,719491,10700039,
1,11271874,753445,968625,80,5607359,1125577,321,265154,770276,721765,10984970,
1,14818375,757792,966721,80,5169703,1128443,261,272107,771578,729128,10933425,
1,12738738,756379,1012377,70,5203617,1089841,251,247030,766278,861787,10539039,
0,10206991,1573984,969006,111,5287222,778951,221,234216,751941,738376,10690341,
1,10397317,2055861,983442,161,5175805,1107323,360,262008,790242,719531,10594625,
1,14316668,752442,967303,190,5171539,1144453,391,262489,764715,728337,10654323,
1,11566043,1219233,966451,100,5179872,1142579,160,275323,757512,729980,10684220,
0,15059494,748895,969026,160,5150818,805281,150,223546,752192,741582,10662531,
1,11908391,830899,965288,151,5175976,1168889,271,268891,763052,729309,10260380,
0,11768271,773431,965389,240,5163181,821501,401,228365,757311,1227247,10487724,
1,15768946,1404888,1306534,161,5816850,1230213,271,271175,762832,740280,10484036,
1,10104188,1238388,1408204,161,5191916,1188625,240,263321,780454,835087,10277381,
1,14941075,1233829,1954202,140,5188839,1188224,180,265465,830006,722155,10464069,
1,9688504,801694,964678,81,5199900,1193294,160,244756,775636,804900,10639346,
1,15392455,1221867,968906,230,5352714,1191851,221,232493,789712,791214,10920711,
1,10715571,1235261,966722,361,5185513,1450353,461,288888,767250,717056,10603619,
1,10666106,783961,965749,80,5197948,1191551,281,252851,738486,830898,10532386,
1,15357489,755077,966992,171,5175604,1179227,260,249114,741221,750498,10806649,
1,11865290,1696131,1009100,161,5373262,1434042,291,255066,767650,761469,10726780,
1,9279401,1682606,1460271,341,5262387,1678218,320,251238,753013,1601585,10751966,
1,12750171,751129,965379,70,5131061,1215445,240,253012,749717,725151,11049822,
1,11226169,2228242,990015,170,5363976,1197141,190,261137,751902,1943592,10675262,
1,8500922,1698817,994564,390,5173611,1199125,260,267349,771197,749016,10954192,
1,14507596,746822,966411,231,5255333,1242134,270,254354,733788,812043,10649436,
1,10614169,751340,966702,191,5150850,1121881,130,218177,877856,730221,11115903,
1,11001351,744247,968044,270,5134148,1083839,191,220301,751440,716686,10501028,
1,12064093,1246492,979996,160,5145519,1124285,111,227324,761649,727957,10472216,
1,15096311,1224432,966652,181,5200282,1211167,201,242131,772359,727706,10637402,
1,10943705,1422971,967343,280,5177478,1183475,381,264593,776677,736592,10591397,
1,11023773,822793,966351,70,5311127,1183886,300,255687,768421,721595,10804947,
1,15082877,765296,967844,80,5191013,2186845,270,244556,783059,724561,10870176,
1,10317718,763513,967734,191,5149585,1115559,601,250217,737825,742183,10558225,
1,15723601,1219713,1888860,170,5334090,1107976,260,244336,758914,755378,10840751,
1,9868580,1220134,1044006,101,5183940,1134374,231,256869,751410,735250,10903608,
1,10524524,1378178,972763,80,5201423,1057721,311,254604,815449,754356,10911875,
1,10483024,1325259,968776,170,5195301,1097856,361,223436,747723,722126,10394710,
1,16011137,1223159,989433,230,5195752,1093077,251,246830,718159,759385,10628506,
1,10719327,756219,967182,160,5186535,1165943,491,269262,723538,920445,10599534,
0,11447291,749216,968795,80,5129989,888005,361,265304,724942,725282,10650587,
0,15725786,759946,967453,161,5205601,957434,261,233876,750449,735891,10615673,
1,11603184,745519,964938,170,5229335,1050888,471,203279,785203,716706,10610472,
1,11527220,760176,966421,60,5162602,1146697,622,277487,763222,724710,11017891,
1,15150676,1222177,969987,241,5167439,1256150,240,251158,758233,753735,11190453,
1,10640989,1685501,1355235,160,5209699,1173658,241,266847,799631,741933,11353436,
0,9023876,908173,967784,160,5165576,938138,461,259824,808297,723318,10831635,
1,15345829,752803,1441746,200,5182868,1154732,361,252961,788891,725902,10862481,
1,10853695,1714435,977381,190,5188450,1097345,261,266256,880060,727446,10564476,
0,15150223,755097,967382,161,5201643,802946,100,215291,739278,733276,10108938,
1,12643161,1223901,1013779,80,5148835,889638,220,192178,746381,752903,11198209,
