ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,,Total,Max,MaxName,Contribution,,FPS(Tracking),Biggest Delay (Tracking),Contribution,Time
1,938069,1274696,965630,100,5832542,797646,70,256138,777729,776347,10780122,,22399089,10780122,TimeWaitKey,48.13%,,44.6446728257564,TimeWaitKey,48.13%,10.780122
1,935553,1221006,1038316,80,5313553,769104,71,262168,762391,746781,10762069,,21811092,10762069,TimeWaitKey,49.34%,,45.8482317162295,TimeWaitKey,49.34%,10.762069
1,982071,1245352,968967,80,5465557,706136,150,262519,847470,744407,10823724,,22046433,10823724,TimeWaitKey,49.10%,,45.3588115592214,TimeWaitKey,49.10%,10.823724
1,928310,1216467,969858,91,5222545,732746,111,252401,765747,749247,10686238,,21523761,10686238,TimeWaitKey,49.65%,,46.4602817323608,TimeWaitKey,49.65%,10.686238
1,999242,736122,1116391,71,5226371,742654,70,250366,791646,741693,10732454,,21337080,10732454,TimeWaitKey,50.30%,,46.8667690236902,TimeWaitKey,50.30%,10.732454
1,1009341,1264867,967443,100,5573588,742263,70,250196,771428,736022,10811422,,22126740,10811422,TimeWaitKey,48.86%,,45.1941858583777,TimeWaitKey,48.86%,10.811422
1,975188,1249939,985617,70,5367014,738236,80,260245,758504,1003100,11163858,,22501851,11163858,TimeWaitKey,49.61%,,44.4407884489147,TimeWaitKey,49.61%,11.163858
1,4793424,1219773,987440,200,5136704,749087,70,250627,736303,725833,10680267,,25279728,10680267,TimeWaitKey,42.25%,,39.5573876427784,TimeWaitKey,42.25%,10.680267
1,23247490,707449,1187213,70,5173683,732756,80,244876,714452,750469,10656743,,43415281,23247490,WebcamRead,53.55%,,23.0333646809749,WebcamRead,53.55%,23.24749
1,19914739,707368,964357,70,5123390,759636,70,244897,717928,726434,10726453,,39885342,19914739,WebcamRead,49.93%,,25.0718672538899,WebcamRead,49.93%,19.914739
1,23839704,704173,966120,171,5208949,764385,100,259062,769594,727195,10698290,,43937743,23839704,WebcamRead,54.26%,,22.7594758337951,WebcamRead,54.26%,23.839704
1,20176938,1014460,966802,161,5755197,747734,81,156204227,761699,771508,10718548,,197117355,156204227,Facendi,79.24%,,5.07312002030466,Facendi,79.24%,156.204227
1,773301,715794,990336,90,5294989,720844,171,249986,774644,755098,11076275,,21351528,11076275,TimeWaitKey,51.88%,,46.8350555519961,TimeWaitKey,51.88%,11.076275
1,912891,1218552,963375,60,5295480,787348,80,234187,739468,735381,10794660,,21681482,10794660,TimeWaitKey,49.79%,,46.1223084289164,TimeWaitKey,49.79%,10.79466
1,910537,1213141,1016575,70,5203419,702489,70,235058,742804,750028,11091784,,21865975,11091784,TimeWaitKey,50.73%,,45.7331539069262,TimeWaitKey,50.73%,11.091784
1,753905,753064,964367,70,5208127,733428,80,159334439,736913,753875,11007597,,180245865,159334439,Facendi,88.40%,,5.54797748064845,Facendi,88.40%,159.334439
1,780805,707929,965500,90,5204050,719682,70,321199,729480,715624,11046208,,21190637,11046208,TimeWaitKey,52.13%,,47.1906531172234,TimeWaitKey,52.13%,11.046208
1,887234,731774,964047,90,5489431,745149,101,246198,723309,714932,10766026,,21268291,10766026,TimeWaitKey,50.62%,,47.0183523443421,TimeWaitKey,50.62%,10.766026
1,1306095,1152337,982963,80,5166219,728999,70,254485,807064,730291,10767499,,21896102,10767499,TimeWaitKey,49.18%,,45.6702293403639,TimeWaitKey,49.18%,10.767499
1,746772,717507,965740,70,5209880,783430,70,256839,757321,741512,10841317,,21020458,10841317,TimeWaitKey,51.58%,,47.5727027451067,TimeWaitKey,51.58%,10.841317
