FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,252815,2709,13302044,365,8227364,6867091,260,930685,4491862,14523721,34454519,109483300,25630484,885,
0,317919,469,11609632,417,9252060,5737498,261,969123,4326809,10228475,34849522,106229155,28299674,1146,
0,101511,157,3641281,677,9657480,8706794,157,1128708,3797168,9458832,33648158,101023381,30545683,2240,
0,125366,156,3425342,313,10963325,4758531,104,35200723,3634407,10905616,20160332,116821122,27283883,2031,
0,68907,156,3365029,781,8940442,8169290,156,258819444,3719407,8857317,21021069,340631823,27353884,886,
1,248648,156,4071025,416,10672072,8593409,156,259643097,3730710,9080600,21140340,346728178,29234213,1094,
1,222762,260,3739877,2552,11473798,7054592,209,1103604,3747428,12359066,20829140,89466299,28687594,1042,
1,82605,156,3422999,469,8037257,8806743,365,1332199,3976806,8347364,23559892,85853038,28033837,5000,
1,101407,156,3460811,416,8729191,9614719,156,1473763,4602593,9362060,24470734,91474910,29346557,1406,
1,86250,156,3188934,365,8623669,9132840,365,1242772,4133838,9887794,20483928,86507992,29401609,1302,
1,170731,105,7415949,521,7900485,10294256,156,1449648,4328423,10999992,20571742,88476967,24888654,1198,
1,83646,104,3232997,417,7953871,6795007,156,1129906,3905347,10681499,20572314,79805851,25154802,7344,
1,164793,104,3434561,312,8502834,7695639,156,1148291,4041858,8332208,20718566,79530275,25050738,1979,
1,222658,156,3410394,938,8057206,8983881,365,1343397,4177588,10340454,21134663,83160359,25103812,989,
1,177241,156,3300341,417,7948819,6935842,156,1138551,3842273,10161130,20446375,79302668,25077718,1980,
1,164428,104,3229038,364,7594389,8359396,157,1253032,4008994,8488720,21002734,79012979,24644850,4270,
1,105417,156,3342790,782,7981319,5811925,157,1092302,3906440,10891917,20824816,79626943,25308762,886,
1,255367,156,3505759,2135,8328197,7016571,156,1260063,3932169,7989600,20320697,78041199,25044957,1406,
1,189377,104,3446592,468,7958246,6043698,677,1197667,4065608,10817594,21064558,80202154,24975217,938,
1,176303,313,3463675,2240,8164550,11708435,156,1083864,3946596,10773792,21213934,86219551,25358189,3906,
1,185314,156,3480655,521,9075443,6820840,416,1161468,3871491,8231999,20928307,79695483,25223604,1979,
1,174533,156,3411697,521,8357208,6668704,156,1419752,4141858,10205609,21096068,81256434,25098915,2552,
1,187293,313,3377633,312,8364760,6998237,209,1101624,3774512,10474102,20158612,79877204,25109176,1823,
1,69584,157,3309768,312,7575795,7432148,156,1143083,3953316,8696847,20626012,78326461,24957352,4427,
1,157345,156,3477062,573,8899244,6707767,156,1183552,3943263,7965590,20548720,78676880,25221000,1510,
1,205679,104,3416331,573,8542991,6745162,469,1352460,4050504,10498893,20440907,81383883,25445898,678,
1,223179,104,3484196,625,8357208,6817142,208,1099072,3807324,9440759,20243613,79504909,25588347,1719,
1,207294,156,5345150,365,7972100,8518876,156,1156521,3870085,8900911,20607991,82885198,25647879,9636,
1,223752,156,3828262,729,8351740,6344066,208,1309646,4086858,10765510,21069037,81847689,25153134,938,
1,263180,157,3918315,781,8393250,6775944,156,1105218,3742011,9301695,20036945,79347668,25328814,2396,
1,88230,156,4749103,417,8002153,7604650,416,1172406,3943263,10171755,20810701,81958470,25057769,2605,
1,170158,156,3308935,677,8024288,5857551,156,1140062,3942534,11045148,21184194,80295799,25241572,2552,
1,268335,157,4307745,1250,7942621,6695631,312,1190531,3892012,12227658,20346791,83058740,25783713,1615,
1,290263,105,5176035,573,8062205,7142562,208,1196938,4088994,10643165,20469969,82795560,25275375,1667,
1,142241,156,3568833,625,7940954,7147770,156,1229594,3981910,9969097,23648069,83312076,25313240,2083,
1,107866,157,3340029,781,8790649,7971787,104,1117614,3861908,11107805,20719399,82845821,25510273,4791,
1,162033,156,3463989,573,7951475,7799911,104,1291990,3862533,9810189,20323145,80442988,25387303,2292,
1,201877,156,3363050,416,8175331,7584441,156,1306730,3790397,11130044,20995754,82488474,25541002,1510,
1,183335,157,3603364,1146,8413927,7305376,209,1039749,3691334,9422060,20383250,79496834,25156520,1094,
1,101407,208,3313935,312,7631004,7532878,261,1217407,3804355,7796109,20373614,76973010,24888601,6145,
1,180679,104,3528156,1042,7967933,5672914,156,1100165,3871700,11135982,20372572,79422563,25277562,730,
1,184220,104,3499561,937,8787212,7244073,156,1236001,3819096,7947205,23806613,82015606,25123967,1614,
1,110834,313,3424874,312,7619909,6711933,156,1436627,4142327,10649311,20799711,80581321,24948549,834,
1,151407,104,7388241,573,8024444,6112605,156,1143604,3935659,11375358,21094869,84480053,24886361,2396,
1,223387,156,11752394,364,8134862,6189689,156,1116572,3816075,10846188,20988306,88434357,25131154,937,
1,95053,105,5991614,469,7596368,8584918,157,1165583,3835502,8037257,25063862,85378759,24766359,2448,
1,105470,157,11590048,885,9131745,7480481,313,1179124,3995920,7950850,25134801,91903450,24989591,2240,
1,105730,156,11124575,678,9417373,7977256,313,1238709,3940086,8215123,24908809,92447673,25053185,5208,
1,91928,157,11970207,313,8823774,7502096,156,1148292,3899565,8352416,20429343,87322525,24715578,990,
1,185626,156,13125426,938,8602731,10404725,364,1220010,3910138,7999652,24104375,95317750,25195686,2396,
1,123960,157,8985338,781,9163569,8936067,156,1158604,3925034,8641012,20235331,86453195,24834017,3333,
1,195262,208,8120331,520,7763713,7225583,156,1315584,4301652,10799781,21057942,86059910,24816308,2500,
1,179845,157,9061797,573,8134966,5876561,208,1106780,3963576,11266295,21028358,85980222,24908288,886,
1,322242,156,7110634,625,7957569,7106937,156,1102093,4651446,10080972,20834450,84759846,25209124,3021,
1,171669,156,5972187,677,7811266,8058090,157,1148552,3811230,8065954,20587625,80735748,24796204,1458,
1,186408,156,17249107,469,7975746,7368918,417,1211312,4089566,8315592,20470489,92727414,25391104,8750,
1,169064,156,5792133,729,7971423,8213925,209,1386158,4105556,10721967,21199350,85577873,25595481,2032,
1,286096,104,7015165,781,7895016,7636003,156,1138500,3902378,10656915,20198507,84521770,25445688,2031,
1,224533,156,4723322,729,7909183,7006466,938,1225948,4025399,10987022,23832288,85870792,25511158,1667,
1,106824,156,5740779,365,7533554,8096268,208,1193188,3804772,7874078,24410262,83784785,24740890,8020,
1,141147,104,9372737,417,8776481,8838462,312,1165843,3904148,8483041,20775491,86572308,24731515,1823,
1,192814,105,8996900,677,7871527,6814590,156,1413294,4124411,10526810,20538875,86042564,25069174,729,
1,180002,156,5840780,886,8207675,8906483,157,1287772,4230401,11541610,20379759,86966218,25891526,833,
1,274169,157,5364681,573,8541845,7751317,208,1075426,3950398,10824103,20580542,85208078,26486999,6562,
1,79168,104,3250341,416,7670327,7730171,156,1178448,4020452,8135122,20679970,77962963,24896516,1094,
1,143595,157,3350341,625,7885276,6893705,156,1116780,4071024,10674727,21046015,80481995,25019642,782,
1,104637,104,3467061,365,8266738,6996622,156,1155843,4130609,8057621,24093228,82375969,25733762,1198,
1,119637,312,3331591,625,7750223,7787723,156,1579285,3962274,10952125,20664709,81817370,25362823,3073,
1,104896,156,5537756,782,7892828,7530585,104,1126468,4000972,11008428,24178332,87268042,25548658,2708,
1,118646,157,5424265,677,7906370,6880997,365,1161885,3835919,10976397,20291685,81905392,25066257,1093,
1,88803,157,4861031,469,7573086,8119392,105,1190948,3959617,8020903,20230017,79357037,24946204,4010,
1,189741,104,5588225,2188,7910745,7532929,156,1102822,3654667,8170174,22329723,81920392,25075893,2969,
1,130574,157,5176555,1979,8162101,7997673,156,1198760,3833002,10826811,20652626,83492749,25090632,1406,
1,224742,104,5174419,520,7782619,6176251,156,1122458,4030868,11045615,20722053,81400179,24807193,834,
1,212450,157,5394786,937,8023871,7382772,156,1129749,3753313,8554084,22307119,82137737,25046309,989,
