FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,107207,72,2745412,217,1399908,1835041,56,169934,989403,2950224,21145976,33466503,975902,548,
0,79678,46,2274093,149,868263,1387260,63,221685,1001847,2206446,20371718,33449634,519338,418,
0,59038,68,1776417,175,1223877,834079,73,304636,1068849,2797516,20421136,33472492,914160,483,
0,52919,38,1400447,164,1027197,590102,63,7934238,556800,1453186,20861325,34777321,808934,662,
0,50067,39,1528021,481,1248448,881832,73,26167877,762882,2265844,20576914,54507152,933450,455,
0,57137,66,1834713,763,1115302,715326,59,27041918,569032,1545893,21051641,54699137,675076,530,
0,51606,45,1227068,317,1214623,707425,57,24874966,603042,1560980,20405036,51562437,816993,405,
0,89656,48,1313751,317,1216934,736610,55,39146193,757723,2295989,21036636,67571903,852639,849,
0,49537,38,2223211,384,1407063,811977,59,19104891,806789,2009052,20995655,48574985,1062978,481,
0,58555,67,2060667,434,1337440,1825844,92,36586563,563192,1442258,25809940,70704585,917256,414,
0,70151,39,1435105,346,1107297,655757,76,21764691,1161483,2913399,20886393,50607153,502367,418,
0,66054,63,1853287,393,1562119,857441,74,21193675,599911,1635940,34957668,63788107,977072,712,
0,69733,43,1747329,322,1136130,744299,47,22406453,789321,2043946,22207778,51933021,696811,451,
0,52002,58,3177898,184,1411363,728170,66,20607218,736614,1741709,20046798,49638662,1041107,465,
0,56503,91,1668502,367,1059739,719722,62,25428156,777859,1999764,20662688,53036732,563406,461,
0,51974,43,2019592,370,1304263,928135,75,24479888,821567,2070234,20244843,52809174,793970,955,
0,66100,61,3625311,221,1989826,790754,74,21173645,816935,2126945,20229750,51889244,970090,529,
0,57490,55,2144141,566,1173547,897714,78,35614249,1178864,2611854,21042671,65504348,675543,517,
0,56635,81,4498332,256,2616246,1144336,62,20087707,583901,1604794,20544655,52612653,1369154,434,
0,53308,55,1650667,176,1377484,699737,48,22558114,857574,2532856,20954872,52042921,1254889,1107,
0,54532,57,2260014,432,1568746,779367,64,35330074,977706,2414977,20326706,64644233,828027,339,
0,57525,61,2576789,443,1415980,1107962,51,34250440,1085916,2698186,20734364,65333926,1302091,497,
0,62375,73,2076745,455,1580272,882418,81,23148855,728132,2016413,20400237,52051184,1052582,482,
0,58304,78,1859151,393,1682387,928931,96,22182351,871898,1854074,20432068,51027177,1052431,888,
0,54512,74,1315890,142,702846,557120,54,28570948,595725,1380376,20071951,53793245,455448,463,
0,71013,85,1520108,324,1024703,701409,55,33889842,992463,2297524,20893027,62202007,708062,519,
0,49695,55,1570857,276,1431127,924356,74,22843327,960798,2335040,20593943,51895550,1083417,473,
0,54538,60,1700698,246,898155,1222265,39,34711594,557277,1472820,20506685,61816331,592177,748,
0,58604,87,2871726,411,1743298,936293,75,32280056,584250,1580452,20625739,61861362,1081912,577,
