FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,218229,15092115,3721493,573,8725166,5984346,521,949370,4221959,6223981,64595471,143029261,32858384,1198,
0,112812,17783664,3374463,1980,8832926,5244245,260,1108641,3823159,11749318,50301998,135782577,33112810,2969,
0,99739,15339354,4305761,469,9082196,6337313,208,943120,3550399,9602246,50855536,131949887,31546202,2136,
0,76875,18938139,4254354,364,8125482,8172981,105,33638953,4670134,14139723,50497726,174713119,31370631,7135,
0,81406,19876207,3245558,625,8246627,6229502,261,250195256,3578160,8116368,50187051,381992905,31971357,834,
0,72917,20246882,4506957,312,10036410,5652212,156,247585530,3621649,8010638,50964026,402212755,51231629,573,
0,69531,20381413,3287172,885,9895213,5865232,365,43717707,3624670,8311471,50278613,186572176,40910272,990,
0,73073,8962352,5527734,1302,8461835,8130273,365,263221131,3611545,8085326,50968558,392601082,35290976,1875,
0,77291,27371014,4981643,521,8547824,6361323,208,253858728,3646284,8059753,50222155,395247111,31883232,625,
0,83385,20266726,3271026,312,9486829,5373464,260,258426155,3661284,7983659,50832881,411898750,52285635,989,
1,89479,17900383,3191287,313,9381205,6638822,521,1363171,3773628,14907168,50781996,144356754,35367226,1145,
1,82240,16558722,3351651,312,7635588,8636052,468,1473691,4841330,11835672,50229186,141440154,36497324,3907,
1,78854,15996278,4016074,313,7638349,8753656,2865,1705669,6796530,12456607,50559914,144454619,35952796,1146,
1,86979,19524906,3401390,573,7753036,6964654,104,1103380,4511333,10560157,50522154,137582620,32782812,1302,
1,91093,10254795,5018570,261,8071993,6023253,260,1169266,4307949,10797136,50858558,129248598,32243335,1562,
1,93802,14521545,3356182,416,7456683,8966936,365,1646034,4111699,10593751,50489913,133663628,32057867,2291,
