FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,209947,18798868,5619088,573,7950222,7316892,209,745205,3670711,5114610,34280617,116061370,31697972,1041,
0,94687,15049147,4858935,365,8092305,5067424,208,1031089,3868887,10515001,41124907,121619624,31351256,1146,
0,82240,21316304,5282475,364,8191576,4886851,260,957183,3514983,9033915,21173961,105996105,31121934,2240,
0,87447,22267133,4860498,417,8097825,4702426,208,31535578,3663055,8069441,22942703,137438454,30819175,2083,
0,77552,19966987,5555702,2604,8170951,5132267,364,246748398,3579462,7917046,21033441,349654205,31008965,1094,
0,165468,17486010,4944924,417,7975639,5731222,156,251465146,3539201,8220065,20878545,352488098,31587713,1979,
0,178489,19447459,5134402,886,8009858,7361631,313,253451803,3564931,8315116,20336309,357432033,31286881,1198,
0,201197,18572463,5458151,989,8052565,6940592,261,265768671,3648055,8445584,20352506,369223018,31451724,3334,
0,132708,19282616,5055028,677,8199283,6605385,417,258635893,3543629,8024284,21105367,362388935,31405370,1407,
0,173802,18509911,3154464,834,7992305,6372417,261,263173996,4106490,8113867,20382559,363875803,31558130,1302,
0,119687,25956438,3167589,468,8042149,5736847,365,260227655,3583056,8060013,20326673,367095163,31532870,1666,
0,219009,19366001,4858466,313,8007097,7520797,729,265850389,3597691,7933034,20973493,370284836,31573546,3438,
0,156822,18951992,6393667,573,8055951,7288246,312,248904481,3637900,7987305,20822088,354182465,31621931,1563,
0,125155,16398568,7268975,1927,8552667,7083404,156,42307974,3587743,10200941,20252663,148450849,32342293,2500,
0,76197,13689882,5090444,1875,8165377,5383151,260,263045455,3612795,9807296,20443703,361829095,31950836,938,
0,115937,22102446,4951174,312,8019024,7479964,260,255798250,3594618,9742557,21096722,372530398,38831637,4219,
0,141093,20854692,6397001,1615,9157872,6300543,208,250994159,3707430,9856255,20343808,363369244,35280299,677,
0,193332,23004942,12343222,1407,8784281,4977580,313,253632843,3696128,9832088,21008702,370992957,33195726,1146,
0,137916,25344357,9958858,1927,8694438,5022320,208,253324407,3702430,9920890,20252351,369898900,33184424,938,
0,152291,21546980,6420333,1354,8991936,6162366,260,250501400,3730711,9806046,20230267,363349244,35469465,3178,
0,152239,25243212,6196689,833,8989280,5050028,313,253660916,3659931,8074701,20643755,363809607,31781201,1041,
1,197290,28387729,9625839,521,8640323,6153304,312,1216505,3711753,10159378,20166153,119908070,31356829,677,
1,81979,24221134,5796378,313,8011211,5960284,260,1198536,3720243,10049691,20382246,110800093,31121152,885,
1,89792,23554157,5978565,469,8037409,6019815,156,1152963,3941231,10321929,20686671,111160976,31138027,1771,
0,81458,24861651,5240495,677,8147826,5076381,625,1172755,3942377,9714537,21058805,110609104,31085684,625,
