FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,237447,8986826,5345284,416,8188705,4893619,157,677340,3535085,4726433,1509263,288405467,249974946,573,
0,120885,13709040,13581697,729,8011780,4323309,313,921610,3516960,3887688,1086869,299260669,249879634,729,
0,94531,13530395,3579824,312,7958603,4427320,208,912755,3511908,3794719,1312597,289165306,249812030,625,
0,94374,13472479,6263612,261,8161831,4306695,261,31079832,3535814,3834823,1177910,322034973,249867499,2083,
0,85728,22940657,3273160,677,7843707,4616746,417,252401340,3548470,3839563,1155202,549441605,249515679,468,
0,115676,15438145,3270868,677,8049384,4549403,261,253491959,3572480,3974978,1282805,543554919,249573700,625,
0,104895,10863275,3952010,1042,8097716,4544455,157,258010425,3558679,4086332,1147650,544340957,249703595,625,
0,102031,13492479,3208264,1615,7970321,4206853,313,40210824,3532220,3676074,16896106,343534232,249908698,1770,
0,114478,13985028,4528933,1875,8407976,4731120,260,252080406,3573054,7778135,1174421,546207406,249531982,677,
0,82552,8841098,3191962,1042,8190060,4915443,156,255801063,3560501,7892926,1073692,543824242,249978230,677,
0,82604,14271641,9130316,834,8316361,4990650,157,245299661,3548627,7895270,1177181,544535125,249524431,781,
0,77187,14568358,5445335,782,8379851,4576225,157,245937367,3620918,7921311,1129161,541425768,249498180,1771,
0,84115,13715550,9605989,990,12037748,5559553,209,39432807,3537273,7746833,7710896,349199517,249517087,573,
0,110936,15285647,8756880,3073,9712708,4830338,417,244696593,3657897,8144643,7447564,560882955,257941520,781,
0,103802,17084960,5190701,729,9883436,6348976,156,40200408,3593522,7839072,7180325,347125414,249396151,834,
0,100312,27851933,3698783,1302,8426517,4782370,209,245813827,3644824,8286049,7143919,564924601,254916225,1875,
0,95625,17663550,5179659,313,9838072,6279446,260,249280319,3610606,7758812,7053556,556481002,249429536,833,
0,125416,27594799,3897739,521,7916728,4707631,261,240893073,3695762,8245216,7122461,559288331,254815810,677,
0,115780,17236000,5250910,625,8415527,6857776,261,254494250,3635918,7899645,7002567,562209983,250980883,625,
0,93437,25623143,3771230,365,8107665,5022942,208,255763410,3995031,8015478,6641631,566610897,249300840,1771,
1,130103,15578770,5186482,7135,8093446,6043770,209,1232441,3926020,7922978,6906421,304870436,249544173,625,
0,100417,15571739,4688881,469,7875791,4704349,156,1289004,4033468,7770531,6893504,302792010,249549434,625,
1,122760,15565645,5228773,1875,8041362,6028249,416,1317805,3955500,7933030,6877671,304883822,249519486,521,
1,130155,14645181,5305388,781,8132300,5978717,260,1216712,3856698,7869489,6953140,303977525,249601413,1823,
1,110677,15874549,4194144,1771,7888186,6062311,260,1334785,3880760,7870791,7302668,304444398,249590632,677,
1,120729,14885232,5212785,677,8168654,6020333,208,1226139,3845188,7846728,6954442,304640803,250057973,990,
1,108801,15459760,5419085,469,7779802,6076218,208,1267961,3884719,8108602,7025952,304955073,249515529,1146,
1,112759,15677936,4058415,417,7818135,6017676,312,1230827,3717115,7938030,7092878,303509612,249562611,2188,
1,99583,16231787,5355492,417,7870166,6372778,260,1237753,3756386,7930894,7065326,305788402,249581726,729,
1,97083,21688841,5135128,365,7747145,6170175,208,1265462,3763209,7951520,6904338,310144837,249153395,625,
1,118541,19659894,5161534,1198,7780896,6107415,365,1253223,3722115,7922718,7111733,308552502,249414176,677,
1,106874,21655456,7948030,312,7588448,6085072,260,1321555,3695605,8010790,6780172,312607741,249153916,1875,
0,116458,17446103,6110072,1771,7879957,4917942,157,1300253,3790605,7813760,7044180,306088037,249339072,625,
1,102395,22846387,4953983,469,7654230,6159602,208,1256347,3734823,7838916,6958920,311033688,249266676,625,
1,103698,22900346,3670970,781,7715167,5948770,312,1328431,3712584,7804854,6991369,309604268,249181260,572,
1,86458,15577468,5125545,416,7987196,6128405,261,1270878,3695292,7986519,6858348,304541379,249554124,1980,
1,92499,15350178,5513564,417,7951936,6012936,208,1287284,3695605,8071258,6984441,305000230,249771362,677,
1,94010,15616791,5348564,573,8162195,6102987,209,1271920,3687168,7937874,7436418,305613405,249604123,781,
1,138749,15215386,5010285,1459,8579277,5957780,209,1283378,3694094,7846312,6930171,304322996,249362302,781,
1,92603,15846009,5204399,416,8166310,6065697,261,1245723,3687011,8208862,6930432,305305073,249568656,2032,
1,99427,15439761,5719397,1302,7946468,6016947,208,1238223,3738521,7753291,7008973,304885649,249636103,833,
1,91354,15646374,5174556,573,8033291,6226477,261,1259212,3627167,8007926,6964390,304830702,249526729,2812,
1,86770,15255074,5259451,365,8036519,6132780,468,1292441,3679407,7818344,9310001,306752932,249583812,1042,
1,109947,26865219,4765287,364,7508137,6136686,157,1298430,3675605,7965842,7619959,315420124,249245011,1927,
1,109374,16405797,5196170,729,7745010,5972415,313,1246608,3696855,7800218,7400221,305382678,249518344,834,
0,126874,18677087,5206274,312,7662771,4896484,365,1219213,3692011,8074748,7233763,306388194,249340585,573,
1,98802,20034997,5029244,312,7556886,6067207,208,1265774,3676856,7916832,7222513,308540006,249415845,2188,
1,101094,16585692,5059400,365,7709229,6095279,208,1267077,3809459,7863916,7047722,305434606,249556209,2344,
1,128749,18252558,5608459,312,7609282,6071894,208,1287910,3854354,7792927,7259700,307489022,249341783,989,
1,101250,21257334,4971275,990,7792145,6102884,208,1299420,3819250,7839802,7370481,310261663,249415273,781,
1,106458,19468801,5073254,573,7678500,6145696,364,1272962,3811178,7861155,7872041,308977139,249408553,625,
1,116822,19939372,7757771,625,7636470,6227102,208,1305462,3688782,7809698,7929228,311918843,249252357,2188,
1,94792,17859331,5649553,261,7521157,6307987,209,1245670,3690293,7944488,7265742,307363555,249502721,1458,
1,107135,20073954,5105441,364,7552616,6093978,260,1239004,3695084,7993655,7183503,308713860,249386471,730,
1,117343,16825952,5002004,1406,7780167,6118821,312,1318170,3654668,7916676,7211888,305622939,249415065,625,
1,94271,21357958,4821901,468,7644594,6114550,208,1350617,3661595,7933239,7187149,309672657,249253555,2031,
1,100208,17698967,5193253,729,7646469,6216685,209,1251972,3704824,7842354,7395064,306763715,249391992,938,
1,115781,19973382,5040859,416,7610532,6148457,261,1280774,3635032,7935322,7495273,308891360,249379284,677,
1,117030,20317235,5104816,313,7700011,6114394,208,1251452,3635606,7852979,7477773,309240422,249407670,573,
1,97031,16870899,4998879,781,7794386,6051478,313,1312024,3682428,7835583,7324231,305614451,249388556,1719,
1,143958,21195355,4906744,468,7753292,6186113,261,1340305,3664616,7867510,7836104,310563331,249410014,833,
1,105780,16491734,5122577,625,7543293,6055540,417,1224629,3719823,7874905,7553032,305434974,249482982,729,
1,144166,21076606,5040389,312,7637407,6126894,156,1235410,3714824,7833135,7369127,309870314,249437670,520,
1,102083,18237611,5560074,521,7647928,6166477,261,1285045,3697220,7983655,7094754,307402307,249358400,1875,
1,94999,20859784,4844557,833,7648448,6084759,156,1264785,3642845,7964593,7469335,309411411,249281525,781,
1,96093,16475902,5092942,417,7802511,6149342,260,1302077,3728574,7950270,7238502,305450704,249354703,625,
1,92291,20685826,5057004,468,7702979,6050905,209,1224212,3673522,7894281,7351888,309360370,249326369,573,
1,114531,16622358,5069712,521,7840843,6169758,261,1255618,3669668,7911311,7437408,305737004,249394077,1771,
1,92291,20928430,4894817,2865,7734646,6143352,208,1322597,3651491,7867718,7368346,309568338,249295641,938,
1,101302,16462516,5110285,469,7693500,6084342,157,1275878,3748469,7956311,7379960,305602057,249515171,573,
0,107552,19117918,5232680,938,7666730,4903359,157,1308430,3724771,7899906,7287357,306902102,249346474,781,
1,109166,21576915,8476881,416,7540688,6062363,208,1245201,3774199,8049227,6970900,313139309,249106424,1823,
1,91927,17922872,5599866,521,7622251,6096738,209,1307076,3771021,7804802,7411783,307160956,249270797,677,
1,102135,21486655,4938776,781,7672928,6268925,208,1259160,3761334,7854853,7256836,310068857,249202882
