FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,116092,2916055,1745148,169,1171413,710258,64,186968,998907,3174375,20826407,33461897,1129095,561,
0,72513,3086145,1830891,173,1453323,578948,58,216520,917343,2240302,21078549,33447095,1177637,437,
0,73751,4238554,1405795,290,1182586,624110,69,231532,698450,1738289,20888816,33473167,1145934,376,
0,53683,2998999,2208114,335,1194303,1310487,30,5590209,853762,2237088,20837570,38431814,1037644,1000,
0,64178,3069540,1503516,697,1038165,717296,58,25099135,572154,1781619,20860593,55839957,1022134,471,
0,62519,2878260,1870947,745,1479947,1651935,74,23034709,548382,1464598,20186952,54694064,1415428,1006,
0,49412,3529684,1738635,631,1169853,483476,32,35880863,788010,2084034,21068867,67873547,977007,394,
0,49660,3334111,1738739,400,1109873,550673,54,36472984,819923,2102124,20635651,67981913,1056465,954,
0,53796,2691650,1385820,151,1358023,657233,64,21851778,862043,2248982,20369076,52721769,1139775,437,
0,51754,4100130,2292426,639,1220877,1396380,64,35195503,1000375,2402826,20418864,68896220,703073,358,
0,71121,6435964,1243936,150,913913,566100,48,20623526,544749,1458340,20465719,53406762,979153,387,
0,55025,5128276,2962181,354,1393216,799557,60,19445629,703006,2387730,20890239,55075211,1208399,1112,
0,56923,4444812,2124094,651,1787478,740485,60,5378576,1081073,1595370,20294257,39074987,1464268,533,
0,49893,2692031,2741323,501,1932495,1064704,169,22903174,580442,1627565,21361885,56269832,1207063,468,
0,44597,3125086,2911759,508,1074015,643460,58,19506026,1026809,2244629,20204221,51560443,671334,393,
0,70130,3974405,1282212,176,1157631,665434,59,20258303,1046445,2597414,20459217,52813528,1194738,895,
0,50346,4940832,1899695,370,999419,966859,65,3946412,522403,1371806,20829805,36561389,931864,613,
0,62880,5013849,2829987,504,1421799,1075183,61,21364551,816222,2188473,20187829,56122957,1056276,491,
0,61384,5018477,2550606,363,827351,1383844,55,4347868,748230,1710907,20698970,38211343,745163,612,
0,59884,6103374,2005854,403,962941,802852,68,21015288,554979,1635618,20479580,54556399,818264,1032,
0,48513,4653186,4567963,161,1054746,660002,69,21073818,796481,1973579,20443861,56247671,875722,379,
0,52815,4080938,2933758,495,1613942,736390,50,19782938,821577,2051258,20700425,53711674,823121,457,
