FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
1,111304,17790980,4964393,886,8115479,6119617,1719,1370436,4095058,5581380,209,73413742,24815974,625,
0,234379,15483916,5021060,729,8951689,6778064,313,1081786,3898649,3962660,208,70539535,24734619,1094,
1,121460,15128963,5165333,313,8735227,5983366,157,1210173,3735104,3843075,104,68600446,24415812,729,
1,93960,17305660,5080748,573,8289752,5873312,156,1089286,3806095,4194277,208,70903914,24892746,3125,
1,95887,21172069,4817203,365,8031571,6157170,625,1532834,4235737,5026685,157,76007474,24618159,625,
1,130991,19485794,3598488,573,8243137,5900187,156,1231111,3820262,4046724,260,71175323,24409926,573,
1,108596,16334083,5143823,730,8408712,5961386,208,1141891,3781563,4361416,573,70667920,25099207,729,
1,245056,26585425,4915173,416,8485588,7439844,156,1215330,3844793,3818960,261,81608334,24726337,5573,
0,123439,15372248,5106425,312,8460327,4931736,365,1058660,3747396,3960785,260,67457198,24441906,886,
1,143335,15928245,5889823,573,8067405,5863103,208,1248611,3735886,3905680,208,69316183,24270862,521,
1,115783,21413530,4857204,365,7946882,5759768,156,1253924,3959431,5776956,625,76108934,24631649,1094,
1,301358,19435221,3317911,1771,8409701,8226157,209,1380696,3870367,3715886,156,73866454,24810557,2969,
1,166461,14961669,3570311,678,9034137,5914771,104,1179079,3785001,3968389,157,67235632,24394249,833,
1,107553,15696158,3376090,625,8079072,5772321,156,1087776,3736198,4143391,156,67224955,24969309,468,
1,98855,25910208,4757984,313,8390795,7633336,261,1294080,3923024,4237612,209,81211818,24663732,834,
1,149742,21884422,4919027,365,7947455,5927948,208,1294602,3617655,3934066,156,74193022,24263362,2396,
1,102762,22416409,4781786,261,7938549,5831227,312,1247830,3701406,5359242,364,76452897,24704930,625,
1,335057,23999816,4991892,365,8306522,5972740,209,1218819,3592081,3977660,156,77054101,24373987,937,
1,135627,23725073,4821995,313,7860787,6028418,156,1400749,3880471,5887218,364,78954909,24793889,521,
1,117606,16408147,4989237,781,9432267,7784901,417,1244705,3735261,3660312,104,72648362,24847796,4584,
1,135158,16306271,3613696,417,8066207,5826279,260,1095120,3663124,3713125,209,67037138,24390029,521,
1,145054,15370216,3983493,417,8074071,5574818,209,1029493,3601508,3747501,156,66178637,24382789,885,
1,128595,15225839,3809637,416,8100739,6560092,208,1208976,3727500,3937764,260,68027724,25056341,937,
0,122085,20489819,3528592,261,8037456,8174229,469,1222934,4343082,5194083,156,76440759,24882015,1979,
1,195940,16979665,4951475,520,8700591,5865812,208,1188610,3906982,3918805,104,70594271,24608522,573,
1,106095,15245266,3800678,469,8071467,5765549,208,1133297,3883179,4181257,313,67417664,24959985,938,
1,121512,16703412,5004446,416,8154489,5794404,365,1224184,4153912,5984458,416,72327472,24748107,885,
1,159846,16536065,4470636,1250,8435795,8411993,157,1337623,3911617,4025889,156,72211794,24591751,2708,
1,133439,15631990,5088405,573,8415483,5812581,208,1033869,3699791,3894169,157,68313666,24346487,677,
1,112137,15116671,3746928,572,8047248,6757907,156,1194965,3636041,4073286,261,67953349,24985611,1146,
0,116773,16617316,4170214,469,8108707,4596679,364,1147568,3818856,5579349,416,69253783,24721024,625,
1,259483,17684623,5220906,417,9475132,7765890,156,1236111,4074797,3733282,104,74759431,24955349,3594,
1,149533,15571728,5098613,312,8504078,5830499,208,1129391,3859898,4097922,156,69238990,24712012,677,
1,95105,15866940,4973507,573,8246834,6052897,208,1238767,3937087,4372561,417,69949833,24816024,1302,
1,171148,25451554,9017001,521,8287460,7106714,313,1337831,3854169,3652967,208,84093051,24843369,2083,
1,161669,21441863,4829442,364,7902506,6040502,937,1221996,3728282,4032973,156,73757959,24183828,2708,
1,105939,22528701,4902048,312,7860682,5865863,260,1259913,3905836,5888728,156,77501136,24826233,729,
1,174273,21693273,4950382,260,8693038,6924420,364,1441531,3666458,3838179,156,76589561,24933890,1511,
1,133387,22588545,4807359,261,7882975,6297327,312,1186684,3685989,4018545,156,75039592,24195182,1145,
1,99897,25975989,4838818,364,7955633,9382006,364,1558199,4061411,4932465,313,84034978,24826025,2084,
1,167607,28304146,4861995,260,7880995,5704819,208,1182673,3700520,3865262,157,80336072,24300653,677,
1,88230,20097625,3935316,312,7999175,5578255,208,1083192,3694635,5041998,468,73228055,25258270,573,
1,242035,18937869,3492237,469,8164020,6522070,312,1250746,3955680,5158978,104,73168419,24667064,834,
1,175731,24572270,4869755,313,7997768,6220556,260,1215226,3721094,4053234,156,77305717,24233360,3594,
1,96303,25211290,8317460,260,8037561,6892232,521,1555074,4085266,5063404,104,84146435,24498102,573,
1,162137,21619156,3727500,729,8200739,5890186,260,1151110,3676406,4032191,312,73333680,24490185,729,
1,95783,15892618,3380463,365,8129593,6043001,313,1035743,3767032,4197767,156,67795061,24950192,521,
1,113699,16902528,3415308,364,8154697,5698152,209,1104807,4144172,5607682,208,70733280,24830555,2031,
1,194846,15836471,6565925,573,8506682,7523334,313,1185798,3843127,3884429,157,72599868,24775085,1250,
1,114637,14945677,5156426,312,8314752,5734872,209,1099755,3741251,3910627,156,67612455,24315496,937,
1,121460,16395177,5018404,364,8325117,5933000,209,1265174,3770053,4031358,573,69918372,24759877,729,
1,174274,22366406,4700482,417,8234438,7202288,156,1458197,4062609,4887308,104,78292030,24662063,3698,
1,171669,22978446,4889026,313,8082404,6034824,261,1231006,3789584,3847762,209,75748141,24361798,730,
1,86355,22894590,4866630,417,7855787,5956594,260,1439395,4006253,5623255,416,78300156,24913734,1146,
1,160679,22562867,5051060,469,8260480,6052950,312,1190955,3818543,3921149,104,75896008,24511020,781,
1,99741,23406160,8350012,312,8000788,6892805,781,1355488,4101255,4882359,156,82607924,24947275,2292,
1,109377,20759092,5402836,312,8175948,6144877,156,1234444,3674218,3911148,156,73963116,24280495,469,
1,153387,22709588,4932257,260,7842245,5937322,313,1337987,3818491,5667788,417,77415558,24705813,625,
1,269170,17130552,6437850,261,8301313,7731671,312,1365852,3841095,4131881,156,74155252,24661489,677,
1,82449,20956229,4778868,989,7967194,6093731,156,1293925,3700104,3930055,156,73465398,24361902,1563,
1,102501,22822349,5839196,260,7861359,5780184,469,1360123,4084223,5580338,105,78846151,24918107,1094,
1,144846,21619520,3528330,417,8328136,5979198,260,1259705,3709375,3935888,156,73367585,24488518,886,
1,96981,18734949,4800223,365,7977351,5894405,260,1249341,3724635,5460389,156,73298729,24896544,625,
1,171148,25155090,4967309,365,8381887,7292966,625,1349967,3848647,3664426,104,80341275,24998838,7187,
1,108752,26784956,4810952,313,7887870,6093001,364,1215694,3627082,3905002,156,79123862,24343881,469,
1,97865,23158448,4754129,312,7900423,5728882,208,1210642,3783074,5374606,156,77474881,24874045,468,
1,229014,17040446,5215958,416,7988393,6327797,260,1444968,4043806,5403982,105,73080081,24805085,677,
1,99897,18328693,3421037,261,9279036,6776865,417,1242048,3749636,3712865,156,72157672,25012015,3750,
1,95470,15464330,5262157,1979,8442930,5773831,261,1089859,3678698,4204589,157,68972836,24543832,677,
1,82866,15974545,4886318,729,8288762,5617422,209,1028087,3618436,4210267,156,69148046,25086287,625,
1,166096,23712831,9270702,573,8496837,7180360,156,1441530,3701666,3675519,156,83371265,25153162,1823,
1,97761,23965907,4758035,313,8012039,5913155,209,1270851,3969586,3917867,157,76603721,24371172,1979,
1,99064,22911724,4864390,260,7886255,5969354,417,1443666,4340998,5734871,208,78825419,24902742,677,
1,163024,20048664,7754795,573,8090894,5940968,313,1208037,3886460,3908127,104,75714750,24361380,1146,
1,106147,19081359,5127259,468,8011778,5926384,208,1254965,3941566,5750080,156,74297752,24740084,521,
1,327452,20574140,5488462,416,8364231,8026987,365,1305383,3691770,3812189,157,76700962,24773001,4323,
1,127085,17420086,5184812,416,8115165,6092377,156,1147829,3651770,3806042,209,70065192,24236482,1094,
1,97918,22776150,4806993,625,7912089,5900394,209,1284602,4024691,5754351,156,77698059,24765917,573,
1,267765,17436700,4836057,625,8442097,8560640,208,1332310,3723541,3859690,156,73561804,24746855,2812,
1,157659,22862870,4821890,260,7872766,6033730,208,1303717,3592289,3969170,157,75087397,24229556,3177,
1,118700,22659481,4769076,312,7889484,5884665,260,1296268,3878023,6125606,312,77655819,24622999,677,
1,214586,18818022,5035747,573,8531472,7650471,156,1360852,3708333,3716979,260,74346659,24883314,2135,
1,109116,21712177,5693464,261,7846151,6116647,261,1236371,3660833,3945680,156,74798956,24237680,1250,
1,100679,19598346,5207832,2136,7900057,5879822,209,1239131,3769688,5539921,156,74376971,24703521,1563,
1,390995,23775590,4929808,469,8416836,5992687,260,1231840,3634061,3957763,104,77158154,24512111,990,
1,122242,22058431,4569074,312,7932401,5681433,261,1261840,3792136,5740236,104,76173401,24664717,573,
