FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,131973,3918205,2085699,177,1685644,860438,75,165900,897969,2181983,10706029,33476006,1312161,362,
0,118210,4294683,2698551,154,1072581,642675,75,198414,866292,1634289,10966995,33488111,955753,336,
0,63501,3350506,1469443,436,1258017,616868,80,249777,1548108,2435403,10809503,33495906,1132046,369,
0,57611,3321317,2341197,217,1190611,621817,83,4462674,583207,1530882,10344879,33504504,972315,874,
0,66296,2358008,1672541,671,865329,715695,72,26832971,579769,1528936,10756169,46317697,845931,381,
0,57982,3157749,1605913,162,968781,636924,60,29346372,566073,1542915,10265975,49301170,1066559,362,
0,67965,3319270,1704547,915,1125523,797230,62,36465357,750682,2070586,10776939,58299983,1099391,340,
0,54710,4121744,2184803,176,906734,516770,42,24713340,588818,1747670,16629163,52436127,869528,1391,
0,52537,3040524,2065127,347,1229788,1483010,69,24721382,786661,2201091,11377394,48128281,1061887,426,
0,52218,4066212,2151455,538,1034980,780731,76,25385665,557244,1802256,10431939,47511254,1149200,362,
0,52555,3747934,2233747,336,1220774,811708,73,22459806,802014,2439524,11017735,46122229,1224891,393,
0,77706,3703728,2219621,397,1274929,637175,70,23117514,531894,1435406,14288435,48409852,1018612,975,
0,60080,3709632,1613674,358,1250537,912157,77,21865179,588498,1418061,20414013,53118101,1193264,402,
0,50256,3067534,1454043,429,1153849,784863,107,20951850,556008,1388973,10247445,40802272,1047907,582,
0,63913,2770165,1297608,365,1710376,1354321,75,21129311,833068,2178471,10663307,43671847,1566608,444,
0,56957,3993940,2062734,184,1362285,645795,77,23563531,645349,1449081,18988097,54074563,1174151,964,
0,52845,4214557,1940556,346,1130984,826557,81,34964073,562773,1468257,10878966,57043788,881914,502,
0,57168,3826187,2113991,182,2612228,744643,92,21552586,561121,1503318,10650088,44997381,1272840,478,
0,64952,4139418,1750082,635,1422803,816899,79,23371434,533250,2290266,14235264,50157454,1436790,406,
0,51224,4087145,1417023,185,1013679,615124,183,35681239,548153,1739374,15574794,61733148,874859,1036,
0,52468,3624892,1820399,460,1162508,628482,48,22204951,896641,2348591,10177546,44136416,1109716,573,
0,49606,4277583,1556426,350,989264,737320,71,24958415,1004622,2448914,10174858,47063627,771863,333,
0,60836,5339498,2250147,349,910442,667952,85,34635340,885011,2143039,10807172,58668051,862117,391,
0,55269,2503338,1704852,389,878438,656656,67,5623605,820227,2153705,20570583,35825899,748571,1286,
0,55266,3390593,1339867,362,1554825,812983,75,23137354,1057829,2901280,10644869,46601346,1583477,406,
0,52304,3662063,1783218,222,880493,993111,241,20198422,829012,2491526,18638086,50519846,885787,970,
0,54323,3500799,1510597,161,1304969,636075,71,20080790,1223709,2582314,19459632,51841571,1371508,438,
0,59704,4821599,1644131,157,723069,524793,71,21864744,956031,2418920,10797569,44589824,608071,943,
0,62977,3871809,2143723,424,1253352,847919,83,35322176,703346,1752520,10950591,58098309,1093422,463,
0,60200,3774696,4208633,372,1412664,865117,81,23631053,563821,1629094,10232806,47837201,1336971,428,
0,57103,3257465,1377106,340,908856,732106,75,36521195,698703,1554623,10867852,56768174,704044,341,
0,48541,4627572,2484432,383,967173,653927,76,8294052,564465,1607948,11160661,33451380,847754,754,
0,70342,3517617,2341422,490,1378789,770903,77,23616280,793001,2161283,15809276,51323316,752970,389,
0,55562,5030758,3399563,365,1102252,562404,64,5446796,581076,1729369,15886521,34535732,656522,335,
0,50854,2799851,1459354,338,1100252,704861,69,22954610,533745,1616623,15906727,48282706,1065001,587,
0,49308,3193682,1480950,484,1398766,1833084,167,35197007,534774,1538753,10479781,57113461,1297415,1612,
0,64688,3872829,1750866,567,1396899,711603,79,20574458,689639,1735896,19771315,51951261,1279095,364,
0,54853,3085747,1515680,183,972575,633813,73,22967953,810619,2073069,14173092,47060871,667686,621,
0,51711,3785132,2047792,382,1203430,675340,68,34502234,1583110,3026638,10783517,58787506,980994,360,
0,48576,4036501,1936866,359,1395007,871629,63,24546222,535178,1770564,10783852,47539230,1515130,896,
0,52494,6133728,2726438,212,1106498,631323,78,22301302,829391,2179074,11050382,47889256,756734,361,
0,49782,3133264,1547377,359,2381392,736303,89,6963654,610959,1584787,13101627,33476636,1660845,419,
0,67076,8579679,1599592,484,1268468,754470,80,22684718,750226,2032800,14860124,53700564,1004309,401,
0,66901,3361321,3686117,364,1102795,692930,71,21867410,789823,2006421,10246950,44848573,924470,824,
0,70776,5149489,1624373,494,1176233,843807,84,22840324,643744,2058873,14506473,50021111,1010854,440,
