FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,116135,5422728,2009050,165,1182047,759242,90,184659,898701,2165393,20456442,34512391,1204834,478,
0,81242,3549555,1760537,157,1167764,448967,44,147654,612336,1515332,20861591,33509268,807149,363,
0,55010,5241140,2475934,185,1009987,685068,97,235301,877565,2593198,20605287,35669243,1784843,421,
0,62615,3288193,1378959,165,1548612,1007231,74,4923448,566615,1509429,20315742,35744889,1048842,1006,
0,46194,4223369,2335496,406,1306470,1538535,176,26018952,597083,1538233,20883636,59435016,838583,352,
0,53903,3652231,1600378,562,1267843,647166,72,4144554,846486,2136162,23985799,39629924,1183208,416,
0,49122,4009282,1905216,368,1559164,787413,88,36719888,847558,2085128,20966068,70418502,1383168,413,
0,50401,3222908,1842239,361,1001187,1351183,304,23812934,671515,1851449,20789652,55598347,905968,1130,
0,52084,3041584,1397504,355,1365408,1585418,177,23302656,1085437,2581565,20196864,55834266,1114449,436,
0,60248,5086807,3604259,334,839161,661356,78,25379014,641980,1781651,20632748,59457232,665084,326,
0,54954,3868792,1887324,517,831957,1087954,217,36258715,548862,1446407,20905504,67770088,774700,419,
0,53651,3707031,3220925,453,1018292,732666,80,20747557,1177029,2952205,20661741,55081337,688361,859,
0,54938,2717219,1883744,409,927111,724942,52,31287534,662156,1740282,20337616,61182614,754444,348,
0,68525,4136454,1864899,175,971356,803693,148,22381191,949829,2270223,20856365,55231796,818529,631,
0,65982,5471019,1930760,489,1300628,624204,41,22115122,1124307,2090936,21064611,56744551,848468,363,
0,63387,5109942,1798357,173,1636532,687300,67,22001732,773889,1797127,20368786,55768511,1430662,1201,
0,55335,5648556,1496915,171,1179428,663656,85,22125563,1094885,2600620,21049724,57046251,1019435,388,
0,50075,2375781,1416768,452,1122270,672214,75,36739646,690935,1554252,20321545,65947561,904844,361,
0,52295,2816397,1813077,188,1728322,705107,190,23383898,847718,2024389,20173460,54941239,1296748,401,
0,56327,5266620,1816075,403,1206807,862143,215,22055810,851479,2151163,20766376,55975677,830729,1122,
0,53667,5113671,2034342,351,1151788,724438,78,21821472,894735,2117650,20191152,54968680,746964,340,
0,53729,4108138,3041068,377,995414,742352,81,20233420,934628,2020186,21062786,54120763,811687,598,
0,65883,4238250,3884282,424,1231451,676632,75,20565798,772289,1945132,20784561,55033944,760860,542,
0,54124,7082849,2139910,359,1147961,635830,62,20847325,776169,1944339,20516319,55959587,711897,774,
0,70937,4897729,2213725,431,1131598,815876,83,21042803,916138,2192126,20404435,54568968,775765,485,
0,75098,4237103,1986277,513,1568218,836695,70,19258192,802564,2212309,20710931,53023146,1228132,734,
0,60615,3834749,2732341,528,2606236,786133,88,23346408,702017,1881284,21043954,58619903,1517249,418,
0,67921,5697786,2701609,327,1087174,750974,63,23210513,852909,2149579,20398272,57861535,845465,885,
0,45427,3536411,1285954,353,1071875,707189,227,22314707,987594,2407111,20462239,54139662,1203106,495,
0,56720,4151912,2777652,501,1479021,701339,60,22903236,554381,1443784,20981463,56157318,998455,548,
0,50043,3649926,1635853,755,1524234,732402,77,22825011,538425,1577907,20469384,54412615,1293333,344,
0,71688,3215056,2548443,352,1635259,863972,90,30546086,559721,1455911,20274117,62993374,1718104,1370,
0,60289,2673900,1953690,239,1268087,713164,79,27704021,743162,1959354,20132908,58080332,773722,396,
0,50060,4050431,1897927,621,1383264,818510,73,21859609,744264,2401861,21028852,55399331,1035034,428,
0,57963,7757710,1508267,372,1086249,747685,88,21570812,904486,2118688,20756698,57483970,871769,433,
0,74704,3308091,1730399,180,1375141,693975,81,35856052,1201772,2801348,20558548,69031414,1318991,918,
0,60247,6356909,2677791,351,825098,670321,79,20422881,1084629,1689758,21038134,55495281,558649,336,
0,62912,3885234,1738765,456,1326590,928834,177,21951779,915578,1808245,20826419,54567486,998133,389,
0,58451,4069375,2586851,374,1696570,812487,71,22343597,968800,2505398,21041975,57565295,1359144,400,
0,66778,2780074,1768964,365,1043096,852310,90,21147934,527977,1498885,20901556,51460672,774124,666,
0,48230,3907455,1885867,498,1901648,841735,88,21217084,541532,1533008,20422364,53646269,1247002,358,
