FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,115609,60,2770676,232,1798115,4320334,171,166755,874737,2196200,20841420,34395547,1204114,471,
0,65980,39,3379850,182,769395,625712,87,222477,878644,2359959,20414465,33582345,607874,454,
0,73585,66,2668960,333,1534492,577139,58,229743,821546,1964149,20415056,33502177,784192,445,
0,52423,36,1557933,62,1137947,992328,90,5005480,553817,1577306,20797861,33473834,784879,971,
0,74404,71,1984972,265,1449386,2749300,146,36640570,793137,2296698,24104821,71189926,989952,396,
0,51904,43,2076066,159,1055048,597245,244,27069285,539104,1916847,20858371,54986125,716323,455,
0,53219,61,2724169,164,1089877,1017099,68,27411460,591098,1618285,20622976,56052809,820573,448,
0,58195,51,4082549,360,1155328,1521188,188,35551515,579012,1589412,20641121,66423239,1142271,1094,
0,58194,43,1589444,256,1122299,740398,200,31836887,552800,1664247,20572266,58844944,608739,358,
0,56259,99,1431443,439,1636449,1518303,199,20072045,878502,2036600,21000492,50058674,1326140,527,
0,124713,48,1412297,152,1082645,664437,157,21146217,762181,2096392,20945923,49202870,875023,395,
0,62562,93,2128192,172,1845565,918465,99,20616791,1045561,2563958,24809021,56457907,2369090,1142,
0,47697,43,1968762,152,1009529,554204,70,35856234,1212479,3791396,20681800,65770024,539239,473,
0,63040,60,3400084,406,1780042,944879,216,22801496,1163051,2102946,20450484,53613149,802308,569,
0,65227,75,1800606,345,1485161,806022,83,22479609,1080268,2555169,20664329,52103912,1065974,393,
0,59707,79,2406632,441,1888457,939417,102,24711446,596319,1631383,20667813,54197214,1195749,1205,
0,53797,60,1985275,321,1880658,935374,92,23595308,785800,2117274,20402784,53036291,1186794,565,
0,106483,57,1798586,386,1476832,880742,92,7938805,938067,1903966,20207870,36271389,918875,363,
0,53946,70,2778986,378,1160017,839158,75,24034746,914577,1917867,20579524,53172602,794883,617,
0,54152,80,1784415,513,1458544,771670,102,23256898,896938,2295996,20357928,52063770,1085197,917,
0,57666,55,2186630,394,1367126,728282,200,6685290,785056,1553057,20669043,34810996,679532,654,
0,48451,52,1822663,261,1110756,836900,90,36617517,1090367,2560273,20921063,65811558,702579,391,
0,77534,69,1586222,423,866223,1532409,145,4234754,772880,2099621,20787335,33490554,501835,318,
0,58160,60,1490898,319,1763670,869778,85,24253054,551349,1696872,21160092,52801186,863418,1065,
0,50471,63,2267967,432,1660135,961432,100,23178499,777107,1937990,20756251,52843134,1158509,521,
0,52836,46,2101709,368,1037503,869038,344,36607011,1011968,2361910,20175653,64999746,682209,527,
0,54063,51,2302143,327,1287024,749268,88,32203283,581818,1643510,20445895,60088988,724202,406,
0,67970,69,2482243,216,1935770,1079911,90,23283000,957617,2454818,20325134,53849875,1164096,1083,
0,54771,51,1622533,243,1059173,719431,73,35394070,534464,1529404,21008071,62581238,564045,453,
0,56635,47,1791871,339,1273724,814292,195,24766272,607896,1565994,20976307,52707230,758575,538,
0,56705,46,2001829,391,1145815,913564,95,24440401,866185,2207779,20630977,53071662,708164,407,
0,53609,60,2225415,381,1637036,1070497,220,23160325,988476,2400723,20582375,53346775,1123692,1468,
0,59453,67,3367870,332,1015512,750103,174,20471918,1068458,2740333,20965430,51070904,520597,370,
0,68328,78,1900517,284,1975994,1039853,111,37302480,563316,1518191,20752342,66512781,1295313,544,
0,61901,57,2039592,385,1752068,906478,90,5380841,695880,1949329,20767602,34933748,1275302,571,
0,51324,46,2471087,661,1270194,786732,77,37055044,655597,1929349,20143849,65217001,746303,1138,
0,64434,76,2261789,288,1276775,817763,88,26637331,612832,1747514,21005946,55466552,944532,438,
0,56701,58,2203998,409,1506968,658471,48,36251432,920994,1544494,20154709,64337329,931681,491,
0,63000,69,2730887,168,1478714,1628800,193,20106354,798601,2125744,20238087,50187751,917359,475,
0,53972,64,2495015,354,1328057,725649,185,25542105,913202,1691734,20159498,53890605,875756,1470,
0,53827,54,1861121,384,1314921,902090,206,24762819,854248,2256709,20219615,53296046,963872,394,
0,57689,42,2247276,213,941887,1590488,51,37749928,968166,2366784,20450797,67148030,675981,389,
0,56171,90,2229567,173,2532649,667624,90,24007844,534855,1494474,21120654,53755721,1006137,554,
0,57969,74,1463974,631,1398280,759429,81,25999101,1005851,2258894,20175972,54289387,1065568,1309,
0,70876,52,1417115,358,809470,664314,65,28198630,1041605,2461772,20602281,55898710,530408,326,
0,55663,48,2068649,404,1264913,1958063,100,32013426,1165922,2871515,20899759,63143735,737694,349,
0,58760,43,1946230,209,1309207,816631,101,37670720,934101,2207769,20982643,66793809,765441,501,
0,59661,84,2501934,393,1404187,978247,84,34638236,549793,1513394,20323102,62769397,704356,896,
0,59113,91,1649864,331,1425612,969473,219,23343584,843558,2060595,20129368,51673761,1094288,472,
0,54297,56,2753301,278,1741802,985363,96,23914458,893399,2040495,20274065,54046616,1274027,537,
0,47151,45,2464518,282,2583272,929031,82,24287962,545193,1778033,20132970,54399816,1509188,524,
0,56000,66,1575066,376,1082568,688576,77,25985652,950129,2423537,20152404,53629281,554464,1033,
0,54476,51,2173115,570,2186940,1087351,87,37574825,846552,2180015,20742351,68197068,1243077,474,
0,55468,66,1480104,165,1046315,846041,71,35982273,1077456,2994322,20739426,65103997,782630,383,
0,60728,60,1857237,339,1347847,789659,209,21910075,948407,2425515,20954930,51384428,986779,353,
0,59273,85,3037679,211,2234958,773230,92,22309509,533215,1458586,20973109,52594143,1120229,1129,
0,58771,79,2401344,364,1253491,738331,79,7845323,792921,1627051,20787837,36332689,721822,359,
0,55882,67,1928958,391,1744311,960095,94,21632146,556396,2235944,20380585,50747812,1161374,376,
0,60193,72,2310460,182,1261404,1453510,203,20753992,888060,1746076,22556018,51949253,809501,775,
0,52000,51,1906301,202,1414454,729921,70,23728999,547170,1514876,20914783,51811258,909271,1215,
0,59995,79,1705854,242,1406378,1051407,103,35277289,554723,1485279,20819099,63354284,894116,526,
0,63352,58,1752104,453,1341120,860935,82,21244941,533028,2067675,21474315,50474983,1045862,481,
0,61865,69,1597478,160,1285374,653163,80,22407486,599832,1524744,21879873,50956275,850279,472,
0,45703,31,1243050,335,1255593,795350,73,22316241,553630,1796835,20908970,49835606,823707,1751,
0,54059,47,3927429,191,1396542,633047,171,23208533,551078,1613005,25887578,58245639,870534,481,
0,50897,52,1452601,186,944480,647300,70,25823984,551625,1663150,20740887,52793619,816956,859,
0,64601,81,1521347,368,1023741,729609,72,24275795,717422,2243184,20995719,52582357,908933,555,
0,64010,51,2758416,334,993462,669829,71,23270432,669543,2084752,21582991,52995673,773175,997,
0,52513,34,2857487,374,1656505,865300,83,24003536,875724,2186067,20516131,54152741,1038565,429,
0,55731,85,1795806,411,1341288,869696,86,25612788,638780,1724270,20951475,53903212,806063,1160,
0,56988,55,2075309,185,1923018,843020,98,23214649,723286,1793335,20310859,52354009,1316160,523,
0,54664,65,2852851,408,1442069,900761,97,36053080,695704,2425268,20203411,65422100,697140,1119,
0,61840,70,3791478,278,1573910,720350,96,22797580,748531,1927380,20576050,53766445,1461485,517,
0,59482,47,1807199,188,1485872,783719,61,37941596,550822,1388132,20331804,65194827,752904,358,
0,52762,84,1575475,181,1630220,881097,99,28911094,547495,1430708,20447752,56758516,1183312,580,
0,52157,72,2261602,469,1266038,981111,75,24739568,541461,1690002,20359125,52918603,924105,1250,
0,55053,72,1455908,354,971940,553000,72,6826270,641694,1898652,20805496,33833187,526908,586,
