FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,64286,2362683,1507316,791,864974,647089,84,26633491,660141,1810683,10399280,51637595,6555517,477,
1,77089,2150385,1312648,368,774641,1071152,62,26610461,802718,1850790,15741618,57159663,6631683,553,
0,53211,1945377,1356356,351,1290004,701818,79,25248616,969717,2098699,10376677,49176336,4998264,545,
1,70476,2228320,1508156,292,1376647,803284,38,158060,652710,1461161,10939197,33493098,7126393,1477,
1,50424,2039569,1410621,334,1267159,1016071,52,220901,1009390,1772414,10858142,33523040,5360211,505,
1,79288,4011746,1265051,276,949339,1008414,73,183099,701653,1519056,10192454,33475575,4924649,413,
1,56880,3971264,1934304,381,1574321,921762,47,200025,692699,1576476,10895534,33482682,4833296,599,
1,61493,1960279,1384117,280,935178,1147533,55,370372,1068245,1594947,10857675,33449326,5670417,1021,
1,58068,1701128,1336496,300,738146,999505,59,174749,637713,1402231,10975866,33545629,6702486,427,
1,71184,2484497,1872161,312,1220262,1086945,57,329267,587414,1343783,10915216,33509533,6532249,394,
1,69113,1992473,1453415,298,1143073,848471,43,237493,751052,1766684,10867237,33519729,4346952,439,
1,75955,2116321,1354454,408,1208873,1089783,44,249931,814180,1968682,11107317,33482940,5398994,1043,
1,77970,2078052,1530797,297,1218616,1043920,69,239034,790040,1893528,10352141,33488505,4932790,493,
1,78611,1879450,1308903,314,1327333,1234716,64,305275,998989,1650864,11036985,33511345,5667758,511,
1,77952,2122339,1524795,278,1338922,1024918,64,227771,753650,1778580,10180457,33428836,4614114,361,
1,67083,2506021,1876564,324,1431258,1081217,50,174134,578409,1342845,10736006,33479003,7383739,908,
1,70865,2475421,1880947,322,1282874,1184786,62,364819,597399,1339989,10811302,33455325,6689608,436,
1,74554,2630522,2030578,321,1232157,1134904,55,293500,618518,1339867,10764813,33515591,6047897,408,
1,70508,2844543,2117917,301,1419263,854474,48,21327997,1084622,2416911,10982973,49782633,6558378,329,
0,75016,2780301,2181308,461,827407,627560,61,17933011,1195245,2843495,10828078,44396956,4997846,818,
0,56186,4049507,1355295,304,929025,612746,81,17558670,984587,2362572,10600460,43433077,4817284,380,
0,58788,2156095,1533413,338,1359849,581545,77,18158542,1181796,2842087,10969553,44296118,5349928,546,
0,58923,1928854,1365926,471,1786857,977008,93,20463922,1193321,2864645,10161272,48321402,7412140,595,
0,81571,2235903,1523770,483,1380636,619780,68,20407332,1118492,2475022,10522902,47820026,7348238,943,
0,65407,2470471,1837351,301,1674823,609352,72,19640424,1202318,2861074,10241917,45910946,5198222,337,
0,58575,2490856,1882366,308,1382597,777106,77,21183458,555617,1355649,10669159,46819255,6357448,604,
1,58067,3027282,1443603,300,1139574,1101229,49,23620402,810825,2545233,11115174,51058910,6094120,604,
0,64172,2707622,2041571,326,1265661,586414,79,253362,915045,1903017,10660229,33474354,4802672,750,
0,73229,2814442,1974646,299,1205684,507753,67,244178,908490,1347189,10840753,33523747,6534957,457,
0,63937,1762014,1228336,312,1281871,620513,67,243497,860865,2020111,10333571,33499673,5134746,391,
0,77134,2522553,2014153,349,1654138,499078,72,17358579,1142893,2507306,10190837,45348194,7280603,386,
1,62185,2067783,1524562,301,1190968,1660581,75,22812952,1180716,2323662,10527711,49574737,6085489,946,
0,71950,4728887,1359245,289,1302209,646025,73,264826,939476,2026463,10754995,33488208,5622818,385,
0,69402,2711345,1447343,425,1492785,705922,78,293185,903140,2027942,11114240,33490581,5189696,347,
1,81239,2174097,1526836,350,1157898,1076683,72,341493,947577,1344788,10133876,33474111,6155805,488,
0,68168,3515736,1817431,442,1289036,533279,65,239602,731203,1547062,10885796,33465792,4860067,839,
0,68951,3310807,2189764,305,1036124,557425,72,263888,723545,1549616,11113014,33479536,5002255,354,
0,55686,2490663,1872140,473,1483184,720141,75,286801,619005,1355618,10633864,33449832,6702449,698,
0,60280,2568957,1441111,275,1088482,672718,74,17123417,1288147,2814171,10725510,43489630,5599062,388,
0,62687,2661590,2291052,400,1406814,645636,79,18768946,1177563,2816177,10243956,46138049,5263448,1099,
0,64473,2643380,2029530,509,1212971,695473,80,20485392,1015601,2546059,10513892,46962011,5644243,517,
0,77027,2902910,1358506,274,1125613,570830,69,36743235,1160387,2815503,11035424,63928991,6031410,503,
0,62548,2561454,1879379,499,1511366,639837,176,3163259,831985,2072176,10330246,33455667,5138624,536,
0,74883,2862371,1909898,645,919789,636618,65,18922761,534079,1452290,10614123,43045507,5018493,941,
0,56301,2483386,1873561,284,1384668,547304,76,34302027,1193963,2601500,10863623,60881966,5462803,412,
0,58785,3905188,1666915,295,976240,680230,79,20458815,941266,2147812,11092377,46842479,4805388,492,
0,67026,3017799,1756549,303,1254020,628006,72,22029569,870726,2173717,10133038,47243707,5207352,479,
0,62619,2541863,1939673,614,1041970,713044,90,33130704,1195025,2873467,10547782,60864789,6707931,837,
0,78527,4074776,1886478,518,1127285,791879,81,21573656,1048595,2491086,10437310,49217759,5595786,873,
0,63104,2234624,1523851,286,1331238,702173,77,22361766,1197753,2876135,10525458,48867942,5946749,424,
0,75660,2397246,1757022,393,1576736,779278,81,18199513,1084787,2537071,11034754,46931055,7380655,538,
0,72096,2866249,2293090,347,755046,547200,65,21335433,1183999,2815194,10466950,46660148,4208851,838,
0,61567,3011767,2130289,284,958630,612440,64,19929992,1219127,2817308,10119805,46183803,5210829,393,
0,74803,2891130,2265564,257,1446535,533555,74,18464918,1169696,2843625,10773375,45449407,4880037,349,
0,62688,2802451,2090766,288,1210475,532962,74,18207883,1024684,2603186,11075054,46325351,6613260,481,
0,62185,2980590,1316607,722,819113,592263,68,21018088,1045013,2593626,11012358,46477965,4920850,904,
0,64632,2805921,2182153,338,1309487,618450,69,17964018,1064008,2488946,10977062,45753164,6166169,512,
0,56093,2481467,1875071,528,1192153,706780,67,20723688,1178138,2861245,10541760,46659979,4934605,485,
0,73937,2459306,1881980,303,1288694,545658,74,19398014,1165076,2860590,10349633,45540126,5408413,320,
0,56494,2280469,1527158,289,1162235,653465,81,19682290,1163157,2810180,10898986,45481962,5141391,893,
0,63419,2498074,2196201,543,1338075,743951,80,21539999,1143921,2866869,10410689,48044833,5136693,486,
0,74529,2808172,1941583,291,1253026,548734,68,19864741,1187353,2816303,10490311,45968037,4870302,355,
0,57140,3044094,1533403,374,1344588,544300,74,34200549,1170486,2864670,10212496,59630655,4548593,498,
0,63945,4452813,1822310,507,1331896,724926,68,20964823,982353,2383431,10829508,49604969,5944849,836,
0,76433,2152666,1533924,297,1514432,597014,66,22156248,1189722,2834547,11010500,48257731,5089127,481,
0,70930,2540923,2203669,348,1483758,681782,64,18394897,1177743,2853771,10150470,45723503,6056332,572,
0,63344,2768309,2151631,447,919469,694426,77,20193429,1158469,2812169,10777473,46530648,4882277,495,
0,81993,2712074,1640071,466,1041979,735385,70,20660408,1158805,2851381,10236741,47380605,6146711,858,
0,58476,2876939,1654914,286,864313,477174,67,18467452,1160904,2836153,10693972,42602380,3412126,753,
0,78210,2762092,1888082,369,1548213,749306,96,18276619,1049743,2551214,11078830,46138628,6052225,517,
0,65768,2858091,2060641,454,1611910,630165,63,20223153,1126970,2814216,10369265,46768048,4906087,352,
0,72991,3064695,1998059,471,843338,646911,68,21049100,1172881,2810667,10380444,46695490,4541152,966,
0,55771,3044407,1707844,474,1196228,594983,67,20401851,1074258,2481878,11040439,48012882,6302789,365,
0,62567,3147216,2087558,456,927433,574836,66,4747808,790482,1862566,10893064,33486341,4801673,363,
0,58370,2795360,2015792,466,1299993,711954,75,22444381,1190953,2814346,10643967,50158537,6076168,670,
0,74549,2233891,1655552,466,1194235,643623,70,21071580,977431,2373005,10348413,46922961,6255938,922,
0,72457,2613007,2033245,561,1216073,731618,77,19799299,1164585,2884540,10808180,46000529,4570210,434,
0,75240,2988041,2041247,281,1313874,575956,68,19700109,555374,1464164,10574599,44207842,4822847,480,
0,65068,2807964,2224491,662,1321461,528821,70,4801205,791846,1890686,10797321,33497175,5160572,453,
0,60669,3016119,2229860,450,802745,690531,65,22036462,1057341,2421520,11068427,50136536,6649518,957,
0,75035,3685092,1785826,488,1492170,619143,68,21136023,948832,2369774,11052125,49898111,6627448,498,
0,75892,2790826,2116179,531,1205443,656222,179,21912536,1158541,2851978,10559974,48520989,5085677,456,
0,84746,2199687,1444489,302,1609400,739663,71,33123020,1198357,2586107,10138926,59845060,6608910,505,
0,59755,3466726,1643295,307,1290287,695950,81,18732694,1179145,2837999,10587229,46216150,5609897,1436,
0,55601,1947289,1444743,307,1619238,791779,199,18289673,1042919,2634959,10908460,45403854,6561306,578,
0,64664,2840815,2056669,295,944721,609536,76,19528854,1164646,2847576,10321013,45320579,4836077,349,
0,64354,2892283,2098390,490,1344450,604081,172,5776026,664044,1641750,11012511,33479096,5257443,382,
0,72606,2738858,2110631,460,987842,694386,67,32841977,1204087,2845460,10225052,59382766,5560836,807,
0,66143,2979795,1821933,266,1337932,619985,65,18300543,1073621,2456891,10573168,44918893,5581060,513,
0,84470,3028929,1760915,453,1007767,609446,69,4669144,903646,2150841,11102419,33468473,5609478,424,
0,79263,3030118,1780676,433,1209461,618606,64,22287480,1021395,2546799,10853826,49952981,6422717,341,
0,71653,2539599,1943465,535,1096038,632411,66,21371145,1183464,2814523,10244562,46526411,4516038,869,
0,98715,2232564,1530095,517,1669363,634392,70,23044282,1161013,2861359,10455144,48399413,4599212,339,
0,63452,3237516,2087323,479,925606,635813,65,2968051,747259,1966725,10137940,33524960,4774588,415,
0,57878,2467237,1873744,527,1334603,716479,78,20087339,1171311,2838243,10415433,45871183,4797777,370,
0,65143,2954791,1987286,558,969884,589344,67,3482108,809789,1574624,11070223,33480514,5154354,1063,
0,57080,3015555,2066605,478,1235198,663855,66,21501573,1170556,2858752,11090602,48775025,5003463,398,
0,59173,2841091,1930804,319,1253179,462675,40,22172238,1055524,2587299,10830083,49808637,6506285,534,
0,77566,4066406,1699284,504,1465325,718738,72,21531575,1202330,2631970,11033747,50628495,6081175,429,
0,73160,2905907,2066066,448,1411288,889399,179,20812668,1050176,2457662,10145688,47979638,6059531,818,
0,71214,2791524,2065464,316,1340330,504917,65,18135660,549798,1379042,10684127,44268641,6650932,442,
0,65953,2798294,2059675,321,885880,532061,61,18692817,1156968,2848408,10905077,45268707,5221518,433,
0,61137,2250915,1634400,532,1322937,703141,82,22177721,1045422,2555094,11138128,48770297,5769440,504,
0,71470,2850530,2057310,500,995615,613809,67,19756612,1291804,2717245,10145361,46056962,5443442,1059,
0,66303,2796134,2282541,322,863186,610588,60,20454700,1156402,2913981,10320787,44987551,3415454,315,
0,66990,3139135,1832356,461,971459,674479,66,24391885,1136496,2875194,10414957,50784948,5173669,461,
0,64958,2967963,2260822,344,810002,544429,71,20492888,925634,2532727,10804099,46715171,5210581,367,
0,82978,3275401,1506867,496,1031428,678508,77,2843987,533317,1411240,11037002,33451421,6306198,1052,
0,70536,2975991,1979225,441,966357,680564,68,22034696,1043771,2585624,10440832,47657137,4770910,371,
0,69664,2046896,1442486,507,880315,817651,73,21709921,1195536,2593503,10177127,47524892,6485012,424,
0,66987,2640948,2040831,346,1305225,604712,79,19568494,1160507,2828072,10730502,45534124,4486319,466,
0,79362,2532687,1878223,318,1100205,559887,59,18971384,1076116,2653804,10436013,44710705,5317431,820,
0,60901,2807288,2116155,277,1261507,655348,72,18377910,1170817,2844185,10871156,45965379,5688299,411,
0,66869,2608993,1937517,340,1105462,544402,65,18184783,1170369,2547891,11039643,46408614,7098227,508,
0,59793,2617462,2037034,584,1446299,663294,70,33504797,1216270,2436950,10272222,61395135,7031507,434,
0,58252,2623778,2041032,355,1451905,661392,65,32316345,1090685,2802535,10303346,59206616,5738543,1033,
0,74778,2993054,1303955,1152,832929,594105,72,19507676,1065500,2524010,11009423,46303448,6297578,345,
0,67414,3368061,1587819,463,1001254,796756,77,21418690,1155588,2816685,10738292,48631146,5563425,444,
0,72356,2769126,2160866,537,1454892,721676,200,33476928,1169785,2686201,10254436,60410958,5526130,503,
0,63202,2411755,1857024,518,1128836,828725,81,21051277,1178755,2812415,10902873,47361855,5022172,882,
0,55285,2799002,2083273,291,806226,618166,68,19323135,548401,1460256,10400783,43333073,5142372,354,
0,66021,2885688,2226061,571,1115166,616876,78,20744889,973716,2328603,11106078,47189156,5013764,945,
0,62427,2256629,1635753,391,1526551,720458,91,18513324,1193639,2838133,10855207,45831433,6119177,582,
0,64554,2172111,1442562,308,1150167,554014,73,33668104,1190634,2799624,11116041,59823483,5564089,716,
0,65859,2068985,1442618,295,1159024,609482,74,20642364,994668,2334462,10565430,45219183,5228267,509,
1,64162,2628901,2044024,379,1338450,905305,49,21655292,1262021,2863269,10412462,48115077,4838561,436,
0,78883,2738425,1449870,374,1076455,740427,50,297103,815594,1881711,10171050,33548421,4783885,446,
0,78570,2292493,1927045,293,1621985,960511,68,417193,570538,1341445,10850098,33491866,6670309,978,
1,81454,3026989,2207233,316,1097761,820609,43,177549,574105,1335392,10851115,33491774,6689087,521,
1,80610,2437865,1870156,323,1310850,969038,61,202731,664471,1559875,10888407,33500419,5442112,353,
1,63931,2859605,1510190,304,1070074,1021340,51,262621,934171,1981790,10941282,33485545,5180032,354,
0,60169,3152626,1885672,310,1323537,647529,47,247296,564031,1342625,10948026,33490885,6550567,835,
1,64847,3027922,2018240,328,1219495,924853,45,167473,558997,1443594,11017469,33496969,6699665,520,
1,54139,2369791,1746374,312,1296227,1148370,62,289831,1030693,1342108,10693023,33536002,6113484,397,
1,77829,2155238,1532159,301,1236914,1067626,66,245687,793370,1889988,10914619,33464650,5150623,349,
1,68906,3255917,1935831,292,946765,924754,43,257581,906413,1981596,11156894,33466675,5133651,782,
1,71872,3030896,2263614,268,1187892,858268,64,173410,596666,1338961,11054908,33485688,6620325,406,
1,61555,1834115,1229384,287,1331594,1031718,49,219534,718876,1634159,10974366,33562994,5801841,336,
1,75101,2480581,1873869,336,1421818,955389,45,167711,596759,1344383,10909090,33485014,7366775,449,
0,68171,2844872,2211132,338,1446785,625766,45,22695083,1156026,2549425,10634612,51622132,7281024,681,
0,75040,3241650,2184186,550,1076909,747215,62,3402504,590510,1361666,10734307,33505085,6075241,364,
0,69634,2688707,2036721,537,1220232,749272,83,20259271,733616,2320255,10312101,45351883,4807333,366,
0,64889,2548446,1839728,618,1121252,775278,75,19598752,1223280,2839826,10907008,46184151,5152045,405,
0,72968,2721611,1984634,271,854044,605713,72,20381907,605502,1356032,10490684,44797730,5611589,1008,
0,69710,2601497,1883327,315,1285707,644605,75,34686119,1228246,2855675,10645570,60866496,4841991,470,
0,53632,3174553,1351645,468,909549,668677,70,36835280,1309812,2537870,10716341,61300592,3634671,395,
1,56136,2581236,2619798,284,766640,1063525,39,229651,836426,1855955,11028632,33488359,4896106,491,
1,63271,2905675,1419316,438,1290968,886848,39,218023,729602,1553775,10882543,33511027,5570321,684,
1,61874,2294949,1435834,328,1225448,1021433,78,422311,610750,1350026,10757319,33504691,6716919,440,
1,59663,2090224,1532581,299,1684235,864438,50,204191,609875,1487969,11034730,33488019,7344480,364,
1,74079,3021036,2354604,288,1270261,824654,36,185381,582204,1339084,10827336,33457308,6618557,312,
