FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,214321,15199354,3873575,468,8274908,6867466,260,842912,3756961,5348620,1691606,81521483,34781187,1146,
0,183801,28346635,11059634,625,9489486,5892993,209,939006,3628680,5095392,27922678,129677814,36750292,1614,
0,93906,21406147,9918390,521,8528501,7170590,312,976819,3711649,9991098,9548964,105389494,33312236,1719,
0,284009,26659560,3705555,417,9300372,5757004,260,49968041,4648832,11299217,20753077,165105300,32251668,3750,
0,96614,18093195,5420287,1458,10389429,5168204,209,264432583,3778576,9781411,1186974,352419973,33814160,885,
0,80104,15802476,3614982,1511,8311783,5840233,521,259830938,3584514,7799181,1159839,337601346,31309016,1406,
0,91093,14366181,4881851,1667,8536365,5821639,157,257298763,3531233,7809078,1151245,335171409,31421359,1042,
0,113801,18697567,3694409,1406,8589855,6225907,417,270825416,3554722,7830900,1177546,352334765,31335475,3438,
0,92499,14678784,9297924,990,8215950,5104975,312,268189804,3526494,8325846,1646971,350367274,31037820,1302,
0,84218,22589370,6208564,1563,8081003,5966221,104,263626025,3594931,7820327,1053120,350190452,30891831,3125,
0,101458,18303298,3498108,2188,8690219,7194496,365,250407962,3563732,8176367,1147286,333594542,31936409,1041,
0,78801,9644276,3208213,678,12461972,5253933,312,267037310,3626909,9659589,1194213,347838068,35086655,3803,
0,74531,16779398,5197787,1771,8237982,4840914,208,258890058,3585295,7822619,1163276,337900875,31021674,989,
0,88646,14174202,15941278,364,8002044,4687321,156,254841119,3578785,7834597,1160098,341552368,30928445,990,
0,88177,13901287,6145283,521,8883082,5407526,157,254962784,3532639,7834754,1208067,333677927,31352454,1093,
0,154582,18611681,5404036,2708,8477564,5032059,209,255306481,3588681,7919962,1145255,336966870,31030215,4011,
0,99843,21328231,3680086,4792,8505116,4908935,261,262084626,3534567,7960274,1174057,344692666,31067090,3021,
0,122708,13891652,3296703,938,7998555,5741743,156,265637786,3528890,8116003,1517857,341414505,31305318,1354,
0,94166,13278739,4805914,1250,8783187,5527942,208,259868595,3563837,8410845,1188484,337425045,31628077,990,
0,103385,16998304,4848310,1198,8561521,5909034,417,45929467,3578055,7874598,1158901,126705016,31481255,3177,
0,91041,13209571,3191391,937,8721312,5533984,469,259855366,3538941,8081524,1168901,335132659,31465630,2239,
0,93229,15028522,3200714,729,8548501,6348668,625,257395898,3572743,7946056,1139422,335159326,31609223,1718,
0,134583,13900818,4957372,1458,9119435,6046637,416,258786724,3638577,7770223,1218588,337483430,31637869,1458,
0,89322,18450067,9979952,1719,8709333,4928883,156,47589563,3529045,7867410,1148484,133430139,30829539,2292,
0,91770,22189008,5137215,1042,8025951,5375964,156,250284786,3543264,7766473,1154994,334771099,30969278,886,
0,89322,17621842,6661791,2969,8745687,6545541,261,259398389,3608629,8326419,1191088,343760015,31155996,833,
0,78854,22236977,5020966,886,9270945,4720707,208,40974751,3644149,8138919,1231036,127897719,32315574,938,
