FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,115420,1919175,1413770,312,910570,692048,75,148015,784767,6797413,18062324,35287900,4325335,688,
0,94718,3375814,1647082,194,1189645,565517,68,196736,817189,2442032,10982517,33470397,5159099,457,
0,67499,2174564,1311005,223,2611124,551225,67,207351,871990,2485128,10997726,33469157,5869871,364,
0,46147,3624951,2334416,191,1297675,533058,66,4459704,534681,1569220,10980666,33479364,4029677,1017,
0,49280,3740484,1689041,372,1899963,657574,65,25532187,691372,2129712,10139476,51475292,4843484,401,
0,47767,3011232,1456930,425,2108207,709860,83,27866678,590455,1730757,11093035,53184359,4465708,390,
0,52947,3478374,2814907,365,1403373,617496,66,25179039,552094,1603310,10518160,50017213,3696152,480,
0,51496,3232109,2253659,337,917577,621374,49,34370525,751870,2292116,27802982,77137273,4711869,961,
0,49940,5477996,1247818,316,712636,735300,75,36783251,558913,1453943,10150451,61828555,4558020,476,
0,57624,2812079,1280664,344,1041819,767614,72,20219068,531314,1461253,10903863,45830171,6654407,621,
0,48090,3893325,1782476,557,1028979,1410972,40,33908653,1195223,2851100,10978802,62707945,5485166,455,
0,62022,4143611,2384671,444,1397048,754533,76,26098731,584588,1845109,25571458,68666078,5713849,978,
0,58571,4036755,1823364,357,1937950,664736,68,18955369,687246,2057180,19850873,55947541,5774984,367,
0,61172,3835818,3440653,461,1242133,626698,74,22067832,870735,2234984,13523084,52386382,4373865,370,
0,50261,3304366,1349501,170,1069175,621228,66,20321867,567889,1589860,10890723,45331018,5465984,453,
0,51232,2210708,1427231,492,1064269,738056,81,34568545,635286,2598492,10883485,59529371,5239171,1001,
0,63391,3886038,1817507,383,1525761,714898,79,20931553,872391,2436690,10404876,48753551,5986979,569,
0,60691,3737024,1530040,353,1125722,845317,68,20876594,906817,2222845,12024371,48804772,5362754,402,
0,44042,5678035,3357924,174,1399627,514427,73,22193460,850031,2046446,16883336,56900863,3816324,382,
0,62326,3136105,1377424,185,1356915,615983,93,22595772,749186,1947518,10229161,47633649,5457019,1273,
0,48788,3628878,1627158,355,971429,687110,79,28404563,547165,1503133,10973872,52804142,4297175,383,
0,57108,3747690,4594570,354,1175959,1500136,84,22999098,805383,2304126,11152387,52736239,4293204,456,
0,63653,3677852,1870295,385,1477097,744953,166,32924675,901122,2180212,10930580,59713100,4823880,502,
0,57175,4279745,2065805,667,1641773,601393,69,20718729,661279,1762534,10698216,46395283,3780402,1216,
0,53142,6029241,1932968,415,1283845,591761,67,18792645,810713,1576133,20252170,55679473,4240658,386,
0,49773,2005452,1668997,347,1876393,646681,70,34942051,1007542,2744070,11011056,62602807,6539633,756,
0,99828,3313764,1928982,159,1476859,531134,69,19841488,590478,1598678,11116461,46920897,6300175,434,
0,56620,4340860,2675294,802,1863763,699365,75,20528792,987357,2469617,10118598,48086810,4228664,859,
0,47316,2305360,1401149,334,1037112,681452,87,20748713,948636,2370326,11135104,46353790,5564139,423,
0,62491,2473068,1644624,348,1730598,611753,73,19940108,819259,2036760,10826998,47298437,7042659,385,
0,54610,4734971,1955925,395,1243294,1154925,49,19058754,1046685,2629997,10775309,48023610,5249751,419,
0,56220,2505212,1557471,404,902183,766214,63,24048515,1194490,2860770,12339771,51502808,5152972,1167,
0,70482,4659687,1428163,364,1257749,679932,63,24034131,761524,2011075,10615714,51649503,6017748,683,
0,92617,4255975,2591985,363,1546304,676303,78,23203881,659893,1819082,11096254,50352431,4293643,468,
0,58873,3663537,1954972,359,1411373,673638,68,25847266,749969,1928914,10815479,52731906,5518334,395,
0,59426,4902557,2222828,219,1239471,541818,69,21821202,1000250,2227450,10388706,50804460,6280736,1657,
0,61459,2732451,1352297,202,823840,583061,70,23619913,840973,1805767,10858312,47155454,4375594,427,
0,52861,2732376,1363526,346,1267126,643664,70,21939814,594011,1781744,10675504,47218314,6062480,408,
0,62361,3885602,1665166,182,1298935,487726,43,22033083,617327,1645632,12545908,50708117,6357701,620,
0,51957,4454574,3223173,173,971621,614718,78,23411346,820152,2013635,10563415,51140696,4904027,1147,
0,52484,3528936,1797808,244,1290543,663246,72,22119420,670049,1884395,13362447,50389338,4910538,421,
0,48861,3485892,1924953,347,1058966,672045,84,24802132,561097,1813721,21478336,60899483,4942277,461,
0,64177,5795267,1488313,236,1040972,528896,73,21000705,730052,2276091,10290100,47578936,4244605,483,
0,57414,3730694,1941668,343,1056365,790614,68,33698804,690411,2260732,10318319,59753938,5096396,2039,
0,45695,5216639,3027731,323,1610646,545136,68,20908177,812230,2192651,11458617,49858915,3924612,583,
0,66038,3740016,1436273,362,1220533,691345,70,20052335,999119,2426195,10320921,46104509,5040486,436,
0,72127,3725039,1708210,261,879319,604041,72,20070097,956467,2356230,12847029,47672501,4357193,349,
0,49041,4080386,1423317,337,1055983,652390,68,22805707,892530,1731041,15988933,54272590,5478796,994,
0,74140,3917857,1475340,320,1120751,672027,86,28216906,954324,2415550,17197679,60669371,4512048,388,
0,64581,3162167,1422984,218,1154849,562204,78,20914841,564227,1401169,10825338,45290825,5108504,385,
0,60015,3726870,4950102,376,1079324,582564,66,21872277,945041,2335013,10939229,50703859,4109922,346,
0,75836,3658821,1915982,410,1379910,1563370,79,20420564,874443,2289894,10147449,47713758,5276263,939,
0,69699,3940256,2891408,374,1063361,695218,79,19279904,1070117,2564790,11035725,47034032,4308067,402,
0,53522,3869890,2507321,310,851590,670786,75,21403833,552084,1374199,10811717,46869586,4670207,429,
0,62934,2329099,1657000,396,1054259,773863,66,19924862,790740,1991557,20434863,53559162,4432107,417,
0,56906,3440798,1529643,161,1224154,591799,77,19679634,1086414,2414336,10534657,46326622,5659705,1012,
0,50312,4423846,3082921,474,1260034,640040,78,27333028,766826,1806163,10516736,54718895,4731713,667,
0,50179,4348527,2295034,607,1332671,627286,184,22727321,583570,1576758,10820046,50027239,5551580,542,
0,56073,4645052,2739034,582,1503831,646449,155,34151293,1151264,2716631,10852740,63617120,5044194,533,
0,58248,2628513,1591322,179,1251523,652297,75,22962914,812572,2130152,15970759,53162448,5000685,955,
0,50414,3712975,1589878,255,1554089,586593,218,21111478,550084,1388878,10690308,46930526,5587837,458,
0,61194,3981772,1783931,370,1394795,637383,157,23103174,759701,2080587,14557409,53172542,4700660,379,
0,49597,2207434,1286896,188,1068749,609807,66,23938699,994296,2436776,10160280,47880153,5017526,395,
