FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,229322,14513420,4166178,885,8441887,6256532,417,753642,3681753,5007684,156,74961358,31408703,1927,
0,188801,16463203,3832065,364,8065221,5914087,469,995412,3695243,5410235,104,76570414,31589275,1042,
0,299374,20697401,3424879,364,8136888,6030544,468,1092963,3870815,5200912,156,81103361,31881826,990,
0,158541,16892054,11074322,260,8111316,6256376,416,35083478,3807117,5064246,156,118424640,31508390,4271,
0,216040,22504371,7054810,1041,8001472,5201538,260,251527178,3616858,3846492,208,332987515,30758342,730,
1,112656,14191286,5501171,364,8155950,7594651,468,252186185,3650816,3842013,156,326746504,31253079,729,
0,131719,19060273,3202693,573,8286835,8035743,312,1178745,3833471,5142788,156,80445082,31222246,573,
0,153228,15675445,5157423,416,8425480,5460964,261,245293666,3814617,3817638,156,319102322,31013080,1771,
0,127031,9075946,4726279,677,8050117,4841956,261,41259489,3798367,3823263,104,107384640,31444328,938,
0,139843,13866861,3430296,1666,8319023,5393255,416,251439886,3910190,3781961,156,321820850,31244694,573,
1,122708,16493879,9501361,521,7793556,9597194,365,249839165,4583676,3737222,261,333740585,31775108,885,
0,234062,19756207,9199592,1041,8092044,5018726,260,1142286,3980554,3910918,104,82648821,31049382,1667,
0,115051,16494192,4052272,520,8713396,5219298,365,242240139,3759721,3721492,209,316240148,31620786,521,
0,128021,14428421,3268995,1146,8232356,6993091,313,254344663,3816180,3839356,156,326646660,31318183,1615,
0,116562,17754550,7142987,677,8170742,6092991,417,259115318,3757638,3920502,104,337890356,31537974,782,
0,131093,14167952,4862528,1354,8276522,6571114,364,266652521,3822430,3760346,156,339875763,31315162,2396,
0,116770,21914426,8228867,365,9377507,6947415,260,254301383,3870294,4131439,156,340117637,30960632,781,
0,137655,19845269,3619462,365,9376622,9885890,416,267287101,3932377,3879721,209,355011836,36782063,1198,
0,131926,16917106,4527634,312,8479751,9300737,365,266969030,3951440,3751128,156,346933282,32633176,2448,
0,119426,16151433,3460504,365,11960203,7048977,417,261308744,3787899,3855086,104,340773884,32776249,3333,
0,132135,14186391,4722477,469,8786572,6627468,468,255398356,3790920,3938262,157,330170289,32320939,677,
1,126249,14348108,5308516,469,8677041,9421830,156,1223953,3859565,4093106,105,79429150,31999638,1510,
0,116197,14447013,5220652,625,9711203,5638306,208,1125046,3779461,4931643,105,78073323,32704114,729,
0,228280,19108033,3492223,261,8769177,8484594,469,249869945,4119095,3960293,157,332780797,34444002,4010,
0,123177,22185883,8575376,521,8641313,5583307,313,1213484,4039303,6205595,156,88651397,31695004,782,
0,338280,23463950,11964214,521,10263284,7842827,209,248388234,3896648,3995085,156,343070956,32562813,573,
0,139948,21715520,4791904,729,8901832,8424126,156,252164674,4046335,3857273,104,337564628,33230622,1979,
0,155364,22222290,8439387,364,8676730,5615233,208,270259118,4007325,3952429,156,355381366,31735994,2031,
1,133697,16873304,5288204,521,8567355,7522777,208,1288380,4064928,4079095,104,81403099,33317236,1615,
1,120521,16705857,4844092,521,8050273,6164502,156,1110776,4045502,5793774,365,79307952,32109064,729,
1,412654,19668187,3278005,416,8444647,9673651,156,1461503,4290448,4215136,156,85806359,33945670,1875,
1,129271,15863205,3311078,729,8339803,6040023,208,1224525,3996492,5162214,156,76710152,32270626,1927,
1,296093,20117768,6005752,521,8630583,7852984,261,1165307,3923054,3996647,157,86574741,34244575,1354,
1,139582,16220963,3511233,364,8294439,6082939,261,1117495,4017689,5584504,156,77463378,32114168,1250,
1,419008,16005236,6539187,417,9325528,8369283,157,1165203,3844669,3901492,156,89000875,39166479,885,
1,100416,22368695,8311679,312,7697932,8365220,417,1379525,3855554,3675972,156,87639058,31532974,4271,
1,148385,18470015,5577890,312,7478401,6094189,260,1190255,3846701,4054668,105,78360925,31021310,782,
1,165936,23843896,4992424,313,7603766,9395163,469,1306400,3823784,3774409,156,86593282,31381672,729,
1,121927,17544135,5193673,364,7616474,6113825,208,1263483,3791596,4239615,156,76949631,30779539,625,
1,133854,19435220,5338777,260,7410277,7699859,885,1783325,3848835,5360703,104,82694915,31224745,1771,
1,117707,15593415,4706540,521,7969805,5684556,104,1057911,3692586,3986544,104,74485059,31239172,730,
1,172499,24763370,4391906,260,7584547,8452564,156,1194578,3744044,3879616,209,85891827,31344173,573,
1,131041,16324036,5585129,365,7578297,5870180,156,1111401,3678263,4214824,156,75711720,30923081,469,
1,170624,16699711,3636806,625,7746838,6058252,365,1185984,3846857,5845649,833,77138484,31565734,1667,
1,279738,16835023,6992310,261,7997253,7026789,208,1180775,3783211,3883679,156,80032896,31669118,1407,
0,97135,16086381,3534983,364,7680120,8399855,417,1274421,4198418,5276902,157,78394936,31420891,469,
1,199478,16998773,5033517,1927,8859697,5948409,260,1125255,3758472,4200500,157,77558534,31053497,678,
1,178020,17933039,4988935,469,7588870,6658302,261,1409733,4372010,5189766,157,80080866,31321985,2187,
1,172395,24623684,4987320,521,7540797,6218148,208,1178119,3903680,4268104,157,84149231,30816935,677,
1,181301,25731126,4631645,417,7655432,9573860,208,1289369,4009773,3890190,157,88628689,31338704,2656,
1,141405,25555034,4711540,261,7381423,6036637,261,1180724,3938887,4041074,156,84046523,30823602,573,
1,166458,22424684,4160032,261,7467933,8065326,364,1437181,4017377,5763566,105,85381205,31517036,2969,
1,208176,16902315,5277996,520,7811785,6100856,156,1172286,3861388,4015137,156,76623903,30920998,573,
1,105728,17256063,4880602,260,7464079,6574239,312,1408326,4364458,4932216,105,78577071,31233809,782,
1,190988,17618092,5138569,468,7823452,6165283,261,1204161,3910450,4043522,156,77402961,30988913,625,
1,198124,22071300,4767320,261,7529808,8023920,157,1339472,3840086,4065813,157,83401526,31292402,2396,
1,131041,14738575,5103517,1250,8135690,5986326,209,1107650,3657378,4325916,156,74432299,30948393,677,
1,141197,22024321,4877893,312,7418090,8245637,365,1339525,3884408,4733519,105,84380324,31385838,1042,
1,106094,17371948,5640338,469,7605329,5938982,157,1161713,3710034,4181230,156,76886089,30882195,834,
1,182030,21803280,4907163,312,7382725,8054753,260,1324421,3885867,4830914,157,84245533,31562296,2812,
1,115989,16123464,5407995,2500,7940848,5927680,261,1114943,3834617,4109512,104,75952812,31009695,677,
1,176562,22026352,8234075,260,7679077,8697250,2396,1408223,3918679,3823783,157,87778849,31503546,729,
1,139166,16070548,5089558,677,7765744,6060961,156,1247859,3734461,4108886,156,75344325,30855321,729,
1,148489,20512974,4902633,312,7399913,7724338,417,1578794,3960763,5326432,157,83263662,31270215,3333,
1,169895,15450551,5237162,1667,8062305,5889138,208,1104370,3944564,4110658,156,75348283,31029851,573,
1,174322,21355002,5080653,313,7491787,8012306,260,1306608,3963940,4989299,157,83960014,31311829,1041,
1,112864,14344671,5182007,885,8155117,5998044,156,1202755,3869981,4468832,209,74691568,31000893,573,
1,182916,21358335,4861747,312,7417725,8241575,573,1394785,3917898,5107371,156,84259491,31413704,2188,
0,132603,15380239,5774556,573,7951004,5042268,208,1140203,3842377,4162688,157,74668131,30930737,729,
1,102343,21216148,4910289,261,7337986,7064289,156,1176870,3874721,3922533,156,81029767,31223652,677,
1,99115,16314505,4947320,417,7673401,6674187,104,1374733,4157428,4919247,156,77818793,31240059,625,
1,182134,20904795,5192736,313,7662984,6206220,209,1233015,3865606,4928518,156,81333359,30876518,1979,
1,199530,17002158,7118664,625,7538245,8180064,365,1516295,4027949,5261433,156,82532885,31324433,937,
1,129426,20279070,5063205,312,7614234,6113356,208,1294525,3870294,4113158,104,79528993,30763082,729,
1,207655,19286053,4981383,312,7362257,8442459,573,1745669,3955970,5492734,156,83373766,31489432,1197,
1,119583,21591563,9031780,417,7354184,8065794,312,1244057,7274496,6215231,156,92059245,30792769,2188,
1,309790,18300798,7939181,312,7868868,9542611,209,1276556,3846283,7918660,157,89003167,31580890,989,
1,480414,22789943,6808717,573,7973816,5860493,260,1199161,3751961,4231907,104,84459750,31046570,990,
1,189009,17432052,3415817,468,7645120,6478355,208,1219734,4114772,5523255,156,77730408,31282298,677,
1,124895,15617998,3165870,677,8556677,6852936,208,1211556,3709722,3936284,156,75007557,31586880,2187,
0,108281,15646435,4952059,469,8183086,5293569,469,1233484,4104147,5696014,157,76840828,31226204,2188,
1,127708,15044771,3253943,469,8725375,6994654,261,1213744,3727534,3798679,104,74714276,31569693,989,
1,124843,16392474,3346443,1875,8254648,5835024,260,1101609,3768367,4104772,157,74094071,30915424,885,
1,107604,18443453,3381182,468,7617151,6472208,157,1337650,4239250,5381641,156,78620820,31163236,2448,
1,114635,15346332,4948935,417,8432147,5823617,157,1155307,3922585,4145553,157,75309534,31146205,573,
1,137760,17290854,3685972,625,7573297,9378341,521,1450566,4165918,5073152,157,80536228,31310839,677,
1,230467,16015965,4303938,312,8790271,6030596,156,1248015,3895502,4193522,365,76013749,30991883,833,
1,189843,17315126,4902997,521,7608557,6544135,208,1202494,4197845,4855080,105,78652643,31365370,2448,
1,185572,15874091,4916227,521,8337928,6015596,313,1177442,3637847,4320500,156,75723751,30976934,677,
1,165520,16943773,5111382,886,7625380,6421896,417,1332077,4037116,5122423,156,78591237,31394016,834,
1,107187,16164767,3923835,313,7951732,6436376,260,1220984,3745555,4336281,156,75191670,31021986,625,
1,209009,17250126,4833050,365,7604807,6733197,156,1317390,4316698,5129351,365,79148995,31297922,1927,
1,192759,13559622,3248838,261,8247096,7082050,260,1158484,3967481,3872586,156,73286887,31720265,2083,
1,98854,16353931,3713888,677,7654078,6630750,365,1202182,4372740,5376589,157,77032078,31234589,729,
1,132916,16267943,5002007,468,8413918,5894711,208,1154786,3901908,4129772,157,76129687,30972351,625,
0,159426,18075226,3728889,261,7561995,5397317,364,1282598,4435864,5470443,105,77833845,31308755,2083,
1,166301,16668566,4990392,365,9117248,5903618,208,1188952,3915085,4050657,156,77179837,30926778,781,
1,149270,18264496,5015444,417,7468245,6385438,208,1236296,4567947,5189923,104,80097792,31329224,469,
1,202968,15851069,6635801,416,8632302,5848357,156,1138692,3948054,4046543,157,77644210,31030267,521,
1,154791,18054861,4861123,469,7517464,6893300,521,1395306,4133313,5262996,156,80083991,31313339,2240,
1,186770,16207891,5031225,573,8936051,5934399,208,1157026,3756753,4296646,156,76727704,30953550,521,
1,130364,17399552,5020445,521,7525016,6437625,104,1411139,4132637,5249298,104,79049829,31294538,677,
1,205468,16375807,4548260,364,7923712,5898983,208,1205879,3776336,4150970,156,75432399,31080788,573,
1,161562,17703925,4884143,469,7604234,6617468,365,1327441,4235865,5227111,104,79741179,31531932,1927,
1,188072,16244192,5117945,625,8712979,6032992,313,1123328,3687743,4455916,156,76823798,30980059,1146,
1,108801,17851477,4947372,417,7527932,6659968,313,1133484,4150292,5236121,104,79386181,31309902,937,
1,176041,24673839,5010601,729,7575276,6235543,261,1197598,3726961,4121438,156,83780899,30796102,625,
1,121978,24723943,4683363,261,7685744,8966780,521,1298328,4033574,3796336,208,86979322,31324797,3854,
1,132030,17386375,3609409,416,8688187,5751014,157,1101505,3933419,4677530,156,78330405,32692551,677,
0,225989,16798201,4175240,469,7607151,5530807,729,1296400,4764768,5658306,105,77719367,31241673,989,
1,156614,15166437,4956487,521,8963395,5981117,208,1178432,3926908,4034616,157,75561928,30941310,520,
1,171145,18345380,4839769,729,7576839,6626166,208,1229577,4153365,5245287,156,79977532,31302350,1771,
1,176041,16443202,5181017,885,8863395,5963825,260,1142078,3849044,4279355,156,77304889,31074590,990,
1,184166,17723561,3597743,417,7567307,6664812,417,1453222,4064980,5243673,156,78040146,31176569,938,
1,207134,15859820,5083934,990,9136779,5667681,105,1072131,3772118,4359823,156,76413904,30935164,625,
1,203957,18600119,5031487,260,7461422,6846425,209,1430202,4161907,5197996,417,80702842,31301152,1563,
1,201822,16412004,5147684,469,8437511,6045960,208,1201609,3642482,4119824,157,76554059,31028289,573,
1,131771,18029862,4888154,625,7646109,6552156,573,1234734,4196021,5194506,156,79721283,31398130,678,
1,186457,16012111,4951591,677,9023967,5859503,209,1150307,3645243,4111022,104,76115155,30876726,782,
1,134062,18173142,4236543,260,7596578,6661843,157,1355983,4180136,5153101,157,79270609,31328808,2136,
1,186458,15726018,5155704,573,8626001,5784764,105,1114370,3717534,4123938,157,75664532,30960320,782,
1,128020,18069913,4878987,365,7603870,6645073,156,1332754,4101959,5197944,156,79792169,31337714,833,
1,232290,16368724,5071174,573,8595792,5875024,208,1090151,3645972,4223261,156,76383748,30969695,520,
1,131145,17308355,4128886,469,7532984,6527833,417,1210203,4310916,5291537,156,78021761,31186986,2447,
1,135312,16167423,5108153,521,8945895,5945544,312,1141297,3768628,4188990,156,76710778,31046153,990,
