FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
0,282134,9354799,8182460,469,9123081,5095080,260,709267,3641024,5026590,1369472,305798161,262547640,937,
0,112603,15038209,7542515,312,8385116,4731539,260,946349,3613108,4663155,1698586,310045485,263081544,938,
0,104739,20439224,5604088,625,8646052,4704091,208,926246,3594045,4283313,1188223,302746874,252973989,781,
0,97916,13573632,3713576,364,9488704,4733727,208,37735651,3853680,4700186,8854228,340861846,253673308,2604,
0,124426,15831382,3633680,1823,8609282,5071591,312,254648095,3589983,3811544,1206661,549318706,252530813,625,
0,90781,14659773,4477218,729,8506001,5017840,156,256665586,3580920,4162636,1175879,553186082,254495544,1250,
0,102395,18058454,8383501,1146,8646625,5103569,261,272378062,3649150,4364458,1150828,575171758,253039717,781,
0,102655,21131616,6000492,885,8445324,4877685,312,256459180,3678055,3880190,1188015,560455110,254281170,3281,
0,91405,17326271,3968783,573,8522979,4651905,157,255695434,3604253,3855867,1192703,553377905,254234035,1042,
0,109218,13747590,4240240,313,8413397,4709561,365,246937663,3553264,3904929,1162078,539655731,252541231,833,
0,92603,14362274,3300818,1250,9084592,4838258,1510,246844747,3588784,3731805,1137494,540076823,252760760,938,
0,88021,14450659,3418994,677,8032305,4723935,157,51711886,3568941,4551123,1354577,344869327,252504511,2448,
0,186405,16803408,3342431,3125,8413240,4806695,156,267779699,3578212,3772794,1216087,564459362,254218462,781,
0,96979,14278056,4835029,1042,8610792,4961695,156,262761024,3643316,4367636,1196609,558644807,253642319,625,
0,107969,22434162,5343985,990,8803134,4817633,156,249020154,3563733,3993158,1120880,552552544,253067426,625,
0,98072,18452151,3666962,1250,8641677,4856643,261,264132008,3565139,3851596,1292703,562248435,253300654,1770,
0,85781,14447482,3814148,1041,8459334,4815446,313,263385345,3565348,3795815,16780700,573398798,253986692,886,
0,103489,16871013,5629973,3593,9107716,4992892,157,257107459,3556963,8068972,7463506,565933418,252699719,729,
0,101093,23600199,5877732,1875,8303033,5140392,208,256824386,3562691,8121315,7533609,571936096,252606230,990,
0,102604,28621008,5122840,625,8039492,4999455,261,255621424,3608524,7951108,7625796,574733427,252781802,2344,
0,101041,23650147,5696067,469,8348970,4727425,260,255519653,3616962,7971472,7536213,570117668,252632532,782,
0,114531,24405767,3757169,520,8563084,4540447,208,257944277,3562171,7951107,7587568,571360162,252621542,1718,
0,138176,16277578,7038560,1406,9116519,4722478,156,258173547,3600400,8050222,7306267,567601378,252803520,2396,
0,122708,15388415,4046491,1250,9714641,4699769,157,258155422,3570452,7977410,7624234,564719257,253085395,1979,
0,116875,19503031,3649774,1458,8394282,4751435,417,269596669,3568056,8081732,7268194,577570809,252291283,730,
0,120312,15111646,5322735,938,9247560,4738467,312,253973671,3588264,8111315,7522464,561122868,253104926,1094,
0,100052,15268155,4476593,1666,9132560,4797529,156,47846696,3669930,8423136,22511923,370594099,253966641,833,
0,98958,17025752,4997788,3125,8382408,4934143,209,271366348,3620608,8005118,7553401,578554659,252220138,1979,
0,126302,15539665,5135288,885,8529959,4707321,208,271552857,3658941,7991472,8048868,577995442,252358366,1041,
0,135312,19723291,4961643,521,8439282,4728519,261,244356374,3556857,8057305,7639130,554118995,252191545,885,
0,145520,25552377,4943049,1042,8192408,4710498,208,262587172,3559254,8024024,7783348,577971537,252155295,729,
0,103177,20003289,3366129,834,8620584,4736748,260,264560756,3557952,8058815,7351423,572908801,252232221,2292,
0,96562,20291569,3526025,1406,9378757,4842894,312,254216223,3648003,8049857,7252882,564670975,252963676,781,
0,134687,24355300,6037315,313,8123190,7252621,156,251357538,3606441,7980534,7896264,567389557,250347595,1197,
0,132968,25007014,3206443,313,8144805,4582113,261,271569160,3613628,7846681,7601057,582126568,250166346,781,
0,109583,14959355,5696743,2240,8616052,4543572,260,256180432,3614931,7991888,7472777,560407976,250840822,2135,
0,96093,23286814,4099563,1302,8162512,4844404,208,270345260,3537223,8053295,7420850,580742357,250603376,1302,
0,159895,15021594,5422474,729,8324335,4851331,209,263926488,3614097,7908452,7031528,567120965,250543480,1250,
0,92343,15180187,3469515,1094,8389543,4738415,156,254942937,3578733,7853400,7673921,557152210,250921395,833,
0,112031,15032845,4171751,521,9150946,4518728,156,253823568,3585243,8067722,7472620,556917680,250649625,2188,
0,105676,14687220,7066685,573,8344752,4474614,208,268748392,3533577,7760432,7843660,573570725,250676291,938,
0,109843,15327374,7041633,1510,8264439,4832737,365,268512560,3568264,8019909,7771889,574271659,250509261,1093,
0,104948,15242062,7079653,1407,8323398,4861018,156,253404456,3630503,7850535,7833504,558827358,250054263,1094,
0,129843,15910131,6759655,312,8437094,4525499,260,253966484,3613940,7814025,7700849,559333606,250158898,2187,
0,120885,14775137,5254975,1615,8621938,4509926,208,267722720,3599878,7859441,7645745,570557094,250100357,990,
